Valve_Comp_Name,Display_Seq_No,Last_Updt_Id,Last_Updt_Date
BALL                                              ,111,,
BEARING                                           ,105,PWTDKC  ,1996-8-23
BELLOWS                                           ,80,,
BODY                                              ,60,,
BODY SEAT                                         ,161,,
BOLTING                                           ,200,,
BONNET                                            ,70,,
BONNET BOLTING                                    ,201,,
BONNET GASKET                                     ,90,,
BONNET GASKET & PACKING                           ,210,,
DISC                                              ,120,,
ENDS                                              ,40,,
GASKETS                                           ,91,,
INSTRUMENT CONNECTION                             ,50,,
OPERATOR                                          ,250,,
OTHER                                             ,700,,
PACKING                                           ,100,,
PATTERN                                           ,101,PWTDKC  ,1996-8-23
PISTON                                            ,118,,
PLUG                                              ,110,,
PORT                                              ,300,,
RATING                                            ,30,,
SEALS                                             ,160,,
SEAT INSERT                                       ,170,,
SEAT RING                                         ,130,,
SEATS                                             ,158,,
SERVICE                                           ,900,,
SLEEVE                                            ,142,,
STANDARD                                          ,10,,
STEM                                              ,140,,
STEM & TRUNNION                                   ,190,,
STEM SEAL                                         ,180,,
TRIM                                              ,150,,
TYPE                                              ,20,,
