Class_Code,Valve_No,Last_Updt_Id,Last_Updt_Date
BV1 ,V1.  ,LOOMT0  ,2009-2-12
CA  ,V01525,MARTD6  ,2008-1-12
CA  ,V01700,MARTD6  ,2008-1-12
CA  ,V03710,MARTD6  ,2008-1-12
CAB ,V01707,LOOMT0  ,2009-2-10
CAB ,V03711,LOOMT0  ,2009-2-10
CAC ,V01525,MARTD6  ,2009-2-11
CAC ,V01700,MARTD6  ,2009-2-11
CAC ,V03710,MARTD6  ,2009-2-11
CAC3,V01700,MARTD6  ,2008-1-12
CACN,V01701,MARTD6  ,2008-1-12
CACN,V03702,MARTD6  ,2008-1-12
CAH ,V01525,LOOMT0  ,2008-8-11
CAJ ,V01527,MARTD6  ,2008-1-12
CAK ,V01526,LOOMT0  ,2009-2-17
CAL ,V01526,LOOMT0  ,2009-2-17
CAL ,V01527,LOOMT0  ,2009-2-17
CALC,V01526,LOOMT0  ,2009-2-10
CALC,V01527,LOOMT0  ,2009-2-10
CAN ,V01527,MARTD6  ,2008-1-12
CAO ,V01525,MARTD6  ,2008-1-12
CAO ,V01700,MARTD6  ,2008-1-12
CAO ,V03710,MARTD6  ,2008-1-12
CAW3,V01704,MARTD6  ,2008-1-12
CAW3,V03706,MARTD6  ,2008-1-12
CH  ,V01525,LOOMT0  ,2009-3-5
DA  ,V03530,MARTD6  ,2008-1-12
DA  ,V03710,MARTD6  ,2008-1-12
DA  ,V03801,MARTD6  ,2008-1-12
DAB ,V03711,LOOMT0  ,2009-2-10
DAC ,V03530,MARTD6  ,2008-1-12
DAC ,V03710,MARTD6  ,2008-1-12
DAC ,V03801,MARTD6  ,2008-1-12
DAC ,V03814,MARTD6  ,2008-1-12
DAC2,V03802,MARTD6  ,2008-1-12
DAC3,V03710,MARTD6  ,2008-1-12
DAC3,V03801,MARTD6  ,2008-1-12
DAC3,V03814,MARTD6  ,2008-1-12
DACN,V03802,MARTD6  ,2008-1-12
DAW3,V03706,MARTD6  ,2008-1-12
DAW3,V03801,MARTD6  ,2008-1-12
DAW3,V03814,MARTD6  ,2008-1-12
DAX ,V03711,MARTD6  ,2008-1-12
DEA ,V03811,MARTD6  ,2008-1-12
DH  ,V03530,MARTD6  ,2008-1-12
FA  ,V06710,MARTD6  ,2008-1-12
FAB ,V06711,LOOMT0  ,2009-2-10
FAC ,V06711,MARTD6  ,2008-1-12
FAD ,V06710,MARTD6  ,2008-1-12
FAH ,V06004,LOOMT0  ,2008-8-11
FAH ,V06404,LOOMT0  ,2008-8-11
FAH ,V06526,LOOMT0  ,2008-8-11
FAP ,V06004,MARTD6  ,2008-1-12
FAP ,V06404,MARTD6  ,2008-1-12
FAP ,V06526,MARTD6  ,2008-1-12
FCA ,V06816,MARTD6  ,2008-1-12
FE  ,V06815,MARTD6  ,2008-1-12
FEX ,V06817,MARTD6  ,2008-1-12
FFB ,V06810,MARTD6  ,2008-1-12
