Note_No,Note_Text,Last_Updt_Id,Last_Updt_Date
1,INTENTIONALLY KEPT BLANK,LOOMT0,2008-8-11
2,CERTIFIED MILL TEST REPORTS REQUIRED.,,
3,MINIMIZE USE OF FLANGED CONNECTIONS.,,
4,USE CLASS 300 ONLY WHEN SPECIFICALLY REQUIRED TO MATCH CLASS 300 FLANGES ON EQUIPMENT OR CONTROL VALVES.,,
5,"USE FOR VENTS, DRAINS, INSTRUMENT CONNECTIONS AND ORIFICE TAPS ONLY.",HEDSTX,2007-11-1
6,"FOR GAUGE VALVE CONNECTIONS TO FLANGED BLOCK VALVES ON VESSELS OR PIPING, USE A THREADED OR SOCKETWELD FLANGE OR REDUCING FLANGE AS NEEDED.  ALSO SEE NOTE 139.  FOR SOCKETWELD GAUGE VALVE USE V60812.",MARTD6,2007-11-12
7,USE BUTTWELD END FITTINGS AND/OR FLANGES WHEN SPECIFICALLY REQUIRED.,,
8,"WHEN ORDERING WELD END VALVES, SPECIFY BORE TO MATCH MATING PIPE.",,
9,"USE ""HUB TYPE"" FOR SIZES MANUFACTURED PER ASME B16.5. FOR BORED BLIND FLANGE, VERIFY DESIGN FOR ADEQUATE REINFORCEMENT.",,
10,"WHEN MATING TO EXISTING 26"" & LARGER FLANGES, CONFIRM & MATCH EXISTING FLANGE TYPE. PRIOR TO FEB. 2009 PIPE FLANGES WERE SPECIFIED AS ASME B16.47 SERIES ""A"" (EQUIVALENT TO MSS SP-44) & VESSEL FLANGES WERE SPECIFIED AS SERIES ""B"" (PREVIOUSLY API 605).",MARTD6,2009-2-11
11,"REFERENCE TLV CATALOG FOR SIZING CHART.   FOR INSTALLATION DETAILS, REFER TO DWG. NO. LA-000-0100-0200-006",LOOMT0,2008-9-8
12,USE ONLY WHERE INDICATED ON P&ID DRAWINGS.,,
13,"18"" AND LARGER NOT TO API-600 FACE-TO-FACE DIMENSIONS.",,
14,SEE VALVE SPECIFICATION SHEET FOR TEMPERATURE LIMIT; USE ONLY WHERE TIGHT SHUTOFF IS REQUIRED.,,
15,TEMPERATURE LIMITED BY VITON SEAL.,,
16,USE ONLY WHERE TIGHT SHUTOFF IS REQUIRED.,,
17,"SPECIFY FLG ENDS FOR VLVS 26"" & UP TO BE B16.47 SERIES ""B"". IF MATING TO EXIST. FLGS, CONFIRM & MATCH EXIST. TYPE. PRIOR TO FEB. 2009 PIPE FLGS WERE SPEC'D AS B16.47 SERIES ""A"" (EQUIV. TO MSS SP-44) & VESSEL FLGS WERE SPEC'D AS SERIES ""B"" (PREV. API 605).",MARTD6,2009-2-11
18,TEMPERATURE LIMITED BY TEFLON SEAL.,,
19,USE ONLY WHERE PRESSURE-TEMPERATURE LIMIT OF BALL VALVES IS EXCEEDED.,,
20,DOUBLE BLOCK & BLEED VALVES SHALL NOT BE USED IN AMMONIA SERVICE.,,
21,TEMPERATURE LIMITED BY GVM OR KALREZ SEALS.,,
22,USE ONLY DOWNSTREAM OF OIL FILTERS.,,
23,USE FOR VENTS AND DRAINS ONLY.,,
24,ALL FLANGED VALVES AND WELDING FLANGES SHALL HAVE A 125-250 AARH FINISH ON GASKET SURFACE.,,
25,"USE 1/2"" TO 1-1/2"" AGAINST FLANGED EQUIPMENT NOZZLES ONLY.",PCSSME,1997-6-19
26,USE GATE VALVE  FOR BATTERY LIMIT BLOCK VALVES.,,
27,INSTALL IN HORIZONTAL POSITION ONLY.,,
