Class_Code,Service,Flange_Rating,Max_Pressure,Max_Temp,Corrosion_Allow,Piping_Material,Small_Fitting,Valve_Body_Mtl,Valve_Trim,Gasket_Material,Gasket_Bolting,Instr_Spec,Comments,Last_Updt_Id,Last_Updt_date,Special_Note,Maintenance_Note
A2A ,"OILY WATER AND CLEAN WATER SEWER (UNDERGROUND), GRAVITY DRAINS",NONE,ATMOSPHERIC,150 F (MAX),NONE,CAST IRON/DUCTILE IRON,NONE,NONE,NONE,NITRILE RUBBER (= BUNA N or NBR), ,NONE,REPLACES A & A2 PIPE CLASSES.,,2009-2-17,"A.  THIS PIPE CLASS ""A2A"" WAS DEVELOPED TO REPLACE AND TO ADDRESS PROBLEMS EXPERIENCED WITH CLASS ""A"" & ""A2"", WHICH HAVE BEEN ARCHIVED.  BE AWARE THAT THE EXISTING SEWER SYSTEMS MAY INCLUDE MANY DIFFERENT MATERIAL COMBINATIONS AS INDICATED IN THESE SPECIAL NOTES. CLASS ""A2A"" SHOULD BE USED FOR REPAIRS TO EXISTING PIPING SYSTEMS BUILT TO CLASS ""A"" & ""A2"", INCLUDING MINOR REPAIRS TO ORIGINAL SANITARY SEWER PIPING.  B.  PIPE CLASS ""A2A"" SHALL NOT BE USED FOR NEW SANITARY SEWER WORK. NEW INSTALLATIONS OR MODIFICATIONS TO THE SANITARY SEWERS SHALL BE DONE IN ACCORDANCE WITH BIRCH BAY WATER & SEWER DISTRICT (BBWSD) STANDARDS, AND REQUIRES DESIGN APPROVAL AND CONSTRUCTION INSPECTION BY BBWSD. SIGNIFICANT REVISIONS AS A CONSEQUENCE OF REPAIRS SHALL ALSO BE REVIEWED WITH BBWSD. REFER TO BBWSD PROJECT & SERVICES AGREEMENT MARCH 12, 2002, PARAGRAPH 22.4 FOR NEW INSTALLATIONS & MODIFICATIONS.  CONTACT BBWSD PRIOR TO START OF DESIGN OR CONSTRUCTION.    C.  CLASS ""A"" ORIGINALLY INCLUDED OILY WATER, CLEAN WATER & SANITARY SEWERS, AND WAS CONSTRUCTED OF XH C.I. PIPING UP TO 10"" SIZE, AND REINFORCED CONCRETE PIPING FOR 12"" & LARGER SIZES.  GASKETS WERE NEOPRENE.  IN 1985 THE SPECIFICATION FOR C.I. PIPE WAS REVISED TO SERVICE WEIGHT BECAUSE XH WAS NOT AVAILABLE.  IN 1998 AT THE REQUEST OF THE CARSON REFINERY THE C.I. PIPE WAS REPLACED WITH DUCTILE IRON PIPE WITH RESTRAINED PUSH-ON JOINTS.  ALSO ADDITIONAL FACTORY HYDROTESTING REQUIREMENTS WERE ADDED FOR REINFORCED CONCRETE PIPE DUE TO MANY PROBLEMS WITH THROUGH-WALL LEAKAGE DURING FIELD HYDROTESTING.  GASKETS WERE REVISED FROM NEOPRENE TO SBR AT ABOUT THE SAME TIME.  IN 2002 GASKETS WERE AGAIN REVISED TO NBR (NITRILE) BECAUSE IT IS MORE COMPATIBLE WITH HYDROCARBONS.  ALSO IN 2002, THE SERVICE FOR CLASS ""A"" WAS CHANGED TO CLEAN WATER SEWERS ONLY, BECAUSE ""A2"" WAS GENERATED FOR OILY WATER SEWERS, AND SANITARY SEWERS WERE REQUIRED TO COMPLY WITH BBWSD STANDARDS.    D.  CLASS ""A2"" WAS GENERATED BY THE ISOM PROJECT AS A REPLACEMENT PIPE CLASS FOR OILY WATER SEWER. IT SPECIFIED ALL D.I. PIPING WITH U.S. PIPE TR-FLEX RESTRAINED JOINTS AND WITH VITON GASKETS. AFTER FIELD EXPERIENCE WITH THIS SYSTEM, THE FIELD CONTRACTORS INDICATED THAT THE FITTINGS AND JOINTS WERE DIFFICULT TO INSTALL DUE TO SIZE, WEIGHT, AND COMPLEXITY.  ALSO WITH THE D.I. FITTINGS IT WAS HARD TO MAKE DIRECTIONAL CHANGES IN TIGHT AREAS, AND THERE WAS NO EASY WAY TO INSTALL P-TRAPS.            E.  ALL 10"" & SMALLER GRAVITY SEWER LINES INSTALLED DURING ORIGINAL REFINERY CONSTRUCTION AND UP UNTIL 1985 SHOULD BE XH CAST IRON.  FROM 1985 UNTIL 2004, SERVICE WEIGHT C.I. PIPE WAS SPECIFIED BECAUSE A SUPPLIER FOR XH WEIGHT COULD NOT BE FOUND.  IN 2004 A SUPPLIER OF XH C.I. PIPE WAS AGAIN LOCATED AND THE SPECIFICATION WAS CHANGED BACK TO XH WEIGHT.  BEFORE ORDERING MATERIALS FOR REPAIRS, TIE-INS, OR MODIFICATIONS TO EXISTING C.I. PIPE, FIELD VERIFY THE EXISTING PIPE WEIGHT.  SERVICE WEIGHT MATERIALS MAY BE USED FOR MINOR REPAIRS OR MODIFICATIONS TO EXISTING SERVICE WEIGHT C.I. PIPE, IF IT ELIMINATES OR MINIMIZES THE NEED FOR ROMAC COUPLINGS TO TRANSITION FROM XH TO SERVICE WEIGHT.                                                                                                                                                                                                                                                    F.  FOR TYPICAL STANDARD INSTALLATION DETAILS, SEE DRAWINGS LA-0100-56, LA-0100-57, LA-0100-58, & LA-0100-59.  G.  ALL LINES ROUTED ARE RECOMMENDED TO BE LOCATED 10 FEET OR MORE FROM POTABLE WATER LINES. DEPT. OF HEALTH REQUIREMENTS MUST BE FOLLOWED IF SPACING IS LESS THAN 5 FEET. ",1.  MAINTENANCE REPAIRS REQUIRING RELOCATION SHOULD MAINTAIN THE 10 FEET RECOMMENDED DISTANCE SEPARATION FROM POTABLE WATER LINES.  FOR LESSER SEPARATION SEE DEPARTMENT OF HEALTH (DOH) FOR REQUIREMENTS.
AA  ,OPEN ENDED PIPING DOWNSTREAM OF LAST BLOCK VALVE,CL 150 RF,ATMOS.,500F,NONE,CARBON STEEL,CL 2000 SCRD,NONE,NONE,CMG,B7 STUD,NONE, ,,2008-1-12,,
AA2 ,LOW PRESSURE AIR,NONE,ATMOS.,212F,NONE,GALVANIZED SHEET METAL DUCT,NONE,BRONZE,BRONZE,WHITE NEOPRENE,A307 GRADE B,NONE, ,,2004-3-1,,
AAV ,VACUUM CLEANING SYSTEM,NONE,100 PSIG,100F,"0.0625""",CARBON STEEL/MALLEABLE IRON,N/A,NONE,NONE,"VICTAULIC GR E (EPDM), WITH COUPLING",WITH VICTAULIC COUPLING,NONE,MINIMUM PRESSURE IS VACUUM,,2008-1-21,,
AAX ,COKE DUST TRANSFER SYSTEM,NONE (see comments),100 PSIG,100F,"0.0625""",CARBON STEEL/DUCTILE IRON,N/A,NONE,NONE,"VICTAULIC GR E (EPDM), WITH COUPLING",AS SUPPLIED WITH COUPLINGS,NONE,FLANGED FITTINGS USE CLASS 150 FLANGES.,,2008-1-24,"A.  ORIGINAL DESIGN DOCUMENTS SPECIFIED BOOTHE 28100 SERIES FLANGED ELBOW TYPE FITTING ASSEMBLIES AS DESCRIBED IN SLA-2000-01 AND SLA-2000-02.  IN 1984 BOOTHE INDUSTRY WAS ACQUIRED BY MAC EQUIPMENT IN KANSAS CITY, MISSOURI.  FLANGED FITTINGS ARE NOW SPECIFIED IN THIS PIPE CLASS PER THE CURRENT MAC EQUIPMENT DESIGNATION ""HEAVY DUTY FITTINGS"" WHICH ARE ALSO CALLED ""DENSE PHASE FITTINGS"".  THE ORIGINAL PIPE CLASS ALSO SPECIFIED SIZES DOWN TO 1"", HOWEVER THE MAC EQUIPMENT HEAVY DUTY FITTINGS ARE ONLY AVAILABLE DOWN TO 1-1/2"" SIZE AS CURRENTLY SHOWN.",
AV  ,"GRAVITY DRAIN: CHEMICAL WASTE, 2% TO 10% SULFURIC ACID",CL 150 FF,ATMOSPHERIC,40F TO 180F,NONE,CPVC,CPVC,CPVC/ PVC,PVC/  TFE,TEFLON,B7/2H,NONE, ,,2002-11-12,"A.  ALL BOLTS SHALL BE INSTALLED WITH WASHERS UNDER HEAD AND NUT.  B.  CPVC MATERIAL BECOMES BRITTLE AT TEMPERATURES BELOW 40F. ELECTRIC TRACING SHOULD BE CONSIDERED WHEN TEMPERATURES ARE EXPECTED BELOW 40F.  C. USE TEFLON TAPE FOR THREADED JOINTS, BUT KEEP THREADED JOINTS TO A MINIMUM.",
BA  ,BLACK WATER (CALCINER UNIT),CL 125 FF/ 150 RF,100 PSIG,100F,"0.0625""",CARBON STEEL,NONE,CAST SEMI-STEEL,316SS,NATURAL RUBBER,"A307, B MACHINE BOLT",NONE, ,,2002-10-30,,
BV  ,"WATER TREATMENT CHEMICALS (SODIUM HYPOCHLORITE, DISPERSANT, SODIUM BROMIDE)",CL 125 FF,100 PSIG,125F,NONE,PVC,SOLID PVC,SOLID PVC,PVC/  TFE,EPDM,B7 STUD,NONE, ,,2002-11-12,"A. INSTALLATION, JOINT MAKE-UP AND TESTING SHALL BE IN ACCORDANCE WITH MANUFACTURER'S RECOMMENDATIONS.  B. ALL BOLTS SHALL BE INSTALLED WITH WASHERS UNDER HEAD AND NUT.  BOLT TORQUE SHALL BE IN STRICT ACCORDANCE WITH MANUFACTURER'S RECOMMENDATIONS.  C. THIS LINE CLASS MAY BE USED DOWNSTREAM OF PRIMARY BLOCK VALVE. USE LINE CLASS ""CY"" FOR PIPING UPSTREAM OF PRIMARY BLOCK VALVE, INCLUDING VALVE. ",
BV1 ,"BLEACH, CORROSION INHIBITOR, COOLING WATER",CL 125 FF,150 PSIG,125F,NONE,CPVC,CPVC,CPVC,CPVC/TFE,EPDM,A307 GR. B,NONE, ,,2009-2-12,"A. INSTALLATION, JOINT MAKE-UP AND TESTING SHALL BE IN ACCORDANCE WITH MANUFACTURER'S RECOMMENDATIONS.  B. ALL BOLTS SHALL BE INSTALLED WITH WASHERS UNDER HEAD AND NUT.  BOLT TORQUE SHALL BE IN STRICT ACCORDANCE WITH MANUFACTURER'S RECOMMENDATIONS.  C.  USE CLB WITH NS F-61 REQUIREMENTS FOR REPAIRS TO POTABLE WATER LINES ORGINALLY BUILT TO BV1. ",
BV2 ,WASTE WATER,CL 125 FF,150 PSIG,125F,NONE,PVC,PVC,PVC,PVC/TEFLON,EPDM,A307 GR. B,NONE, ,,2002-11-12,"A. INSTALLATION, JOINT MAKE-UP AND TESTING SHALL BE IN ACCORDANCE WITH MANUFACTURER'S RECOMMENDATIONS.  B. ALL BOLTS SHALL BE INSTALLED WITH WASHERS UNDER HEAD AND NUT.  BOLT TORQUE SHALL BE IN STRICT ACCORDANCE WITH MANUFACTURER'S RECOMMENDATIONS.  ",
