Class_Code,Rev_Date,Piping_Comp_Name,Rev_Desc,Last_Updt_Id,Last_Updt_Date
A   ,19980807,FITTINGS                                                                                            ,Added hydrotest requirements per ASTM C14 for Reinforced Concrete fittings.,PCSSME  ,1998-8-7
A   ,19980807,GATE VALVES                                                                                         ,Replaced the Butterfly valves with Gate valves.,PCSSME  ,1998-8-7
A   ,19980807,PIPE                                                                                                ,"Replaced cast iron pipe with ductile iron and increased pipe size to 18"". Added hydrotest requirement per ASTM C14 for Reinforced Concrete pipe.",PCSSME  ,1998-8-7
A   ,20020801,GASKETS                                                                                             ,CORRECTED SBR TO NBR. R. FLORES.,COBBS2  ,2002-8-1
A   ,20071108,,ARCHIVE TO USE A2A.,FLORJR  ,2007-11-8
A1  ,20020801,GASKETS                                                                                             ,CORRECTED SBR TO NBR. R. FLORES.,COBBS2  ,2002-8-1
A2  ,20071108,,ARCHIVED TO USE A2A.,FLORJR  ,2007-11-8
A2A ,20070911,PIPE                                                                                                ,CREATE FINALLY,FLORJR  ,2007-9-11
A2A ,20071030,,Updated/added components per Piping Detail provided by Rudy,LOOMT0  ,2007-10-30
A2A ,20071107,,MADE REVISIONS PER DUANE MARTINSEN,LOOMT0  ,2007-11-7
A2A ,20080212,,"Revised Special Note B to clarify interaction with BBWSD.  Renamed existing Special Note E to Note F. Added new Special Note E about installed pipe schedule history, service weight versus XH weight, and special considerations for tie-ins to existing pipe.",MARTD6  ,2009-1-20
A2A ,20080212,FITTINGS                                                                                            ,Added reference to new Notes 88 & 89.,MARTD6  ,2009-1-20
A2A ,20080212,PIPE                                                                                                ,Added references to new notes 88 & 89.,MARTD6  ,2009-1-20
A2A ,20080313,COUPLINGS                                                                                           ,ADDED COUPLING ITEM CODE AND DESCRIPTION TO CLASS A2A.,MARTD6  ,2008-3-13
A2A ,20080313,FITTINGS                                                                                            ,Added sixteenth bends to accommodate manhole details.,MARTD6  ,2008-3-13
A2A ,20090210,,Added the following Main Note: 1.  MAINTENANCE REPAIRS REQUIRING RELOCATION SHOULD MAINTAIN THE 10 FEET RECOMMENDED DISTANCE SEPARATION FROM POTABLE WATER LINES.  FOR LESSER SEPARATION SEE DEPARTMENT OF HEALTH (DOH) FOR REQUIREMENTS.,LOOMT0  ,2009-2-10
AA  ,19970109,PIPE                                                                                                ,Changed A53 and API 5L to A106.,PCSSME  ,1997-1-9
AA  ,19971204,PIPE                                                                                                ,"Increased pipe size to 24"".",PCSSME  ,1997-12-4
AA  ,19971208,GASKETS                                                                                             ,Replaced Tang Core with JM Clipper Elastagraph or approved substitute.,PCSSME  ,1997-12-8
AA  ,19980706,PIPE                                                                                                ,Added Note 170 to allow welded (ERW) pipe to be substituted for seamless pipe.,PCSSME  ,1998-7-7
AA  ,19990608,PLUGS                                                                                               ,Changed to pressure relief plugs.,PCSSME  ,1999-6-8
AA  ,20021016,GASKETS                                                                                             ,"REMOVED ASBESTOS ENTRY FROM GASKET. R.F.  ADDED LAMON'S VENDOR REFERENCE. R.F.",COBBS2  ,2002-10-16
AA1 ,20021016,GASKETS                                                                                             ,"ADDED LAMON'S VENDOR REFERENCE. R.F.",COBBS2  ,2002-10-16
AA1 ,20071010,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
AAV ,20080119,,ADDED PIPE CLASS AAV (FROM CALCINER 3RD HRTH PROJECT),MARTD6  ,2008-1-19
AAX ,20080121,,"ADDED PIPE CLASS AAX, ORIGINALLY SPECIFIED & USED FOR CALCINER UNIT PROJECT, BUT NOT ADDED TO POPV.",MARTD6  ,2008-1-21
AR1 ,20071010,PLUGS                                                                                               ,Added: CUT PER WESTBROOK MANUFACTURING DWG.#030601-4,LOOMT0  ,2007-10-10
AV  ,20090213,FLANGES                                                                                             ,"Added following Note to SOCKETWELD, SCHEDULE 80 BORE:  #493",LOOMT0  ,2009-2-13
BA  ,20090213,FLANGES                                                                                             ,"Added following Note to SLIP-ON, RAISED FACE & SLIP-ON, FLAT FACE:  #493",LOOMT0  ,2009-2-13
BV  ,20090213,FLANGES                                                                                             ,"Added following Note to SOCKETWELD, SCHEDULE 80 BORE:  #493",LOOMT0  ,2009-2-13
BV1 ,20090212,,"Deleted ""POTABLE WATER"" from description Added following Special Note: C.  USE CLB WITH NS F-61 REQUIREMENTS FOR REPAIRS TO POTABLE WATER LINES ORGINALLY BUILT TO BV1.",LOOMT0  ,2009-2-12
