Valve_No,Manuf_Name,Figure_No,Last_Updt_Id,Last_Updt_Date
V00010,JENKINS                                           ,651-C                                             ,PCSSME  ,1998-11-30
V00010,KITZ                                              ,125FCL                                            ,PCSSME  ,1998-11-30
V00010,NIBCO                                             ,F-617-0                                           ,PCSSME  ,1998-11-30
V00010,POWELL                                            ,1793                                              ,PCSSME  ,1998-11-30
V00010,WALWORTH                                          ,W716/W726F                                        ,PCSSME  ,1998-11-30
V00020,KENNEDY                                           ,701-X                                             ,,
V00020,STOCKHAM                                          ,(NOT UL OR FM LISTED)                             ,,
V00030,DeZURIK                                           ,*-828-W-B-RS66                                    ,,
V00040,CRANE                                             ,416-1/2                                           ,,
V00040,POWELL                                            ,1792                                              ,,
V00040,WALWORTH                                          ,W726                                              ,,
V00500,CRANE                                             ,375                                               ,,
V00500,JENKINS                                           ,629                                               ,,
V00500,KENNEDY                                           ,126                                               ,,
V00501,CRANE                                             ,373                                               ,,
V00501,JENKINS                                           ,624C                                              ,,
V00501,KENNEDY                                           ,106                                               ,,
V00501,KITZ                                              ,125FCO                                            ,,
V00501,LUNKENHEIMER                                      ,1790                                              ,,
V00501,NIBCO                                             ,F-918-B                                           ,,
V00501,POWELL                                            ,559                                               ,,
V00501,WALWORTH                                          ,W928F                                             ,,
V00520,CRANE                                             ,372                                               ,,
V00520,JENKINS                                           ,623                                               ,,
V00520,POWELL                                            ,558                                               ,,
V00520,WALWORTH                                          ,W928                                              ,PWTKXY  ,1996-8-27
V00530,CHEMTROL                                          ,S45BC-V-NO                                        ,PCS41CR ,1997-7-30
V00531,CHEMTROL                                          ,,PCSSME  ,1999-7-7
V00540,3 P                                               ,MODEL 770 (NOTE F-TO-F DIMENSIONS ARE DIFFERENT)  ,PCS41CR ,1997-8-20
V00540,DOW                                               ,FIGURE  NO. 585                                   ,PCS41CR ,1997-8-20
V00540,DURCO ATOMAC                                      ,ARV2                                              ,PCS41CR ,1997-8-20
V00541,APCO                                              ,SERIES 100R                                       ,PCS41CR ,1997-8-20
V00700,DURCO                                             ,T41                                               ,PCS41CR ,1997-8-12
V00700,LINICHEM                                          ,15 A2HHE                                          ,PCS41CR ,1997-8-12
V00700,TUFLINE-XOMOX                                     ,061                                               ,PCS41CR ,1997-8-12
V00800,CENTERLINE                                        ,LO-26401                                          ,,
V00800,CRANE                                             ,"44-BSB-G (2"" to 4"")                               ",PCS41CR ,1997-7-30
V00800,CRANE                                             ,"44-BSB-TL7 (6"" & larger)                          ",PCS41CR ,1997-7-30
V00800,DEMCO                                             ,NE-512431                                         ,,
V00800,DEMCO                                             ,NF-512431                                         ,,
V00800,KEYSTONE                                          ,AR2                                               ,,
V00800,NORRIS                                            ,R3011-42AA-1Q                                     ,PWTDKC  ,1996-8-26
V00800,NORRIS                                            ,R3011-42AA-2B                                     ,PWTDKC  ,1996-8-26
V00810,DEMCO                                             ,NE-512431                                         ,,
V00810,DEMCO                                             ,NF-512431                                         ,,
V00810,NORRIS                                            ,*R3011-42AA                                       ,,
V00820,MOSITES                                           ,LUG TYPE                                          ,PCS41CR ,1997-8-20
V00830,CHEMTROL                                          ,S45TU-T-LH                                        ,,
V00830,CHEMTROL                                          ,U45TB-T-LH                                        ,,
V00831,CHEMTROL                                          ,,PCSSME  ,1999-7-7
V00841,DRESSER INDUSTRIES                                ,NIL-COR 310                                       ,PCS41CR ,1997-8-8
V00842,DRESSER INDUSTRIES                                ,NIL-COR 410                                       ,PCSSME  ,1999-5-14
V00850,POWELL                                            ,947                                               ,,
