Valve_No,Valve_Note,Valve_Manuf_Remarks,Last_Updt_Id,Last_Updt_Date
V03020,None,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-3-2
V03021,None,,PCSSME  ,1999-4-21
V03022,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-3-2
V03023,,,PCSSME  ,1999-7-9
V03024,"Class 800, API 602, may be substituted.",,PCSSME  ,1999-4-22
V03025,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE 5/32"" PRESSURE RELIEF HOLE ON THE SEAT SHALL BE ON THE HIGH PRESSURE SIDE OF THE VALVE. THE VALVE BODY ON THE HIGH PRESSURE SIDE OF THE VALVE SHALL HAVE THE EDGE MARKED WITH A PERMANENT ""HPE"" AT THREE EQUALLY SPACED POINTS.  3. THE VALVE BONNET SHALL BE EXTENDED TO MAINTAIN A MINIMUM PACKING TEMP. OF -20F, MINIMUM EXTENSION SHALL BE TO STD. BS 6364, 1984 EDITION, VALVES FOR CRYOGENIC SERVICE, FIG. 1, NON-COLD BOX APPLICATION.",,PCSSME  ,1999-7-14
V03026,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE 5/32"" PRESSURE RELIEF HOLE ON THE SEAT SHALL BE ON THE HIGH PRESSURE SIDE OF THE VALVE. THE VALVE BODY ON THE HIGH PRESSURE SIDE OF THE VALVE SHALL HAVE THE EDGE MARKED WITH A PERMANENT ""HPE"" AT THREE EQUALLY SPACED POINTS.  3. THE VALVE BONNET SHALL BE EXTENDED TO MAINTAIN A MINIMUM PACKING TEMP. OF -20F, MINIMUM EXTENSION SHALL BE TO STD. BS 6364, 1984 EDITION, VALVES FOR CRYOGENIC SERVICE, FIG. 1, NON-COLD BOX APPLICATION.",,PCSSME  ,1999-7-14
V03027,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F316L, may be substituted.",* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-5-10
V03028,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-6-16
V03029,,,PCSSME  ,1999-7-12
V03030,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-1
V03031,"1. ALL CASTINGS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10 (FN). DEPOSITED WELD METAL FOR ALL WELDS IN CAST MATERIALS SHALL HAVE A FERRITE NUMBER IN THE RANGE OF 3 TO 10.  2. THE 5/32"" PRESSURE RELIEF HOLE ON THE SEAT SHALL BE ON THE HIGH PRESSURE SIDE OF THE VALVE. THE VALVE BODY FLANGE ON THE HIGH PRESSURE SIDE OF THE VALVE SHALL HAVE THE EDGE MARKED WITH A PERMANENT ""HPE"" AT THREE EQUALLY SPACED POINTS.  3. THE VALVE BONNET SHALL BE EXTENDED TO MAINTAIN A MINIMUM PACKING TEMP. OF -20F, MINIMUM EXTENSION SHALL BE TO STD. BS 6364, 1984 EDITION, VALVES FOR CRYOGENIC SERVICE, FIG. 1, NON-COLD BOX APPLICATION.",,PCSSME  ,1999-7-14
V03032,None,,PCSSME  ,1999-4-22
V03033,ASTM A351 GR. CG8M CASTING IS ACCEPTABLE PROVIDED THAT WRITTEN CERTIFICATION IS PROVIDED THAT WELD REPAIRS WERE PERFORMED PER ASTM A744 OR NO WELD REPAIR IS MADE.,,PCSSME  ,1999-7-21
V03034,None,,PCSSME  ,1999-4-22
V03035,None,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-11-16
V03036,None,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-1
V03040,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-18
V03041,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F316L, may be substituted.",(1) CLASS 800  * PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-30
V03042,"Forged stainless steel, Class 800, API 602, ASTM A182 Grade F316L, may be substituted.",(1) CLASS 800  * PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-1
V03045,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1998-12-30
V03046,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND MATERIALS.   2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1998-12-30
V03050,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-1
V03060,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-1
V03071,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-1
V03081,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,LOOMT0  ,2008-12-31
V03085,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1998-12-30
V03086,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1998-12-30
V03090,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-1
V03100,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1998-12-1
V03150,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  ",,PCSSME  ,1998-12-30
V03151,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.",,PCSSME  ,1998-12-30
V03152,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  2. PRESSURE CONTAINING WELDS SHALL BE STRESS RELIEVED.",,PCSSME  ,1998-12-30
V00010,,,PCSSME  ,1998-12-29
V00016,None,,PCSSME  ,1998-12-29
V00020,SPECIFY DEPTH OF TRENCH ,,PCSSME  ,1998-8-12
V00530,,,PCSSME  ,1999-7-20
V00531,,,PCSSME  ,1999-7-7
V00535,,,PCSSME  ,1999-4-19
V00540,,,PCS41CR ,1997-8-20
V00541,None,,PCS41CR ,1997-8-22
V00700,,,PCS41CR ,1997-8-20
V00810,SPECIFY LENGTH OF EXTENSION STEM ,,,
V00820,None,,PCS41CR ,1997-8-20
V00830,None,,PCSSME  ,1999-7-20
V00831,,,PCSSME  ,1999-7-20
V00835,,,PCSSME  ,1999-4-19
V00836,,,PCSSME  ,1999-4-19
V00840,,DISCONTINUED,PCS41CR ,1997-8-5
V00841,,,PCS41CR ,1997-8-8
V00842,,,PCSSME  ,1999-5-14
V00845,,,PCSSME  ,1999-4-19
V00850,FOR 30 PSIG SERVICE OR LESS , ,,
V00860,GLASS REINFORCED TEFLON SEATS AND SEAL ARE NOT ACCEPTABLE.,,PCSSME  ,1999-5-6
V01000,,* PASSED ARCO FUGITIVE EMISSION QUALIFICATION TEST PROCEDURE,PCSSME  ,1999-2-19
