Class_Code,Service,Equ_Line_Class,Last_updt_id,Last_updt_date
BW  ,EFFLUENT WATER (UNDERGROUND),USE CLASS CAM,,
BZ  ,CHEM INJECTION\, FLOCCULANT\, 90% H2SO4\, DISPERSANT\, SODIUM BROMIDE,USE  CLASS CX  FOR ACID AND CLASS CY FOR WATER TREATMENT CHEMICALS,,
CA2 ,LEAD ANTI-KNOCK COMPOUNDS,NO EQUIVALENT. THIS SERVICE NO LONGER REQUIRED.,,
CACX,,USE CLASS CAC3,PCSSME,1996-12-17
CAF ,HYDROCARBON LIQUID & VAPOR (501F TO 750F) DEA (TO 260F),USE CLASS CAD FOR HYDROCARBON LIQUID & VAPOR AND CLASS CAC3 FOR DEA,,
CAG ,HYDROCARBON LIQUID & VAPOR,USE CLASS CAD,,
CALW,DOCK  OFFSITE:  POTABLE WATER (N)\, PLANT AIR (N),CAL,SILVERM3,2008-4-1
CAO ,OFFSITE & DOCK OFFSITE:  HYDROCARBON LIQUID & VAPOR (Y)\, CRUDE (Y)\, JET FUEL (Y)\, BALLAST WATER (N)\, BUNKER FUEL OIL (Y)\, EFFLUENT WATER (ABOVEGROUND) (Y),CAC,SILVERM3,2008-4-1
CAOW,WHARF OFFSITE: CRUDE\, JET FUEL\, BALLAST\, BUNKER FUEL OIL\, EFFLUENT WATER,USE CLASS CAO,,
CAR ,HYDROCARBON LIQUID & VAPOR,USE CLASS CAD,,
CAT ,HYDROCARBON LIQUID & VAPOR (HC BLOWDOWN - COKER UNIT),USE CLASS CE,,
CAU ,HYDROCARBON LIQUID & VAPOR\, SOUR GAS\,SOUR WATER\, HYDROCARBON LIQUID & VAPOR,USE CLASS CAC; CLASS CACN FOR SOUR GAS AND SOUR WATER,,
CAW ,LEAN & SEMI-LEAN CATACARB\, CAUSTIC 50% TO 100F\,  NH3 SOUR WATER\, RICH DEA (W/ H2S),USE CLASS CAW3 FOR LEAN & SEMI-LEAN CATACARB\, CAC3 FOR CAUSTIC\, CACN FOR SOUR WATER AND DEA AND CA FOR AMMONIA,PWTKXY,1996-11-15
CAZ ,CATACARB VAPORS FROM PROCESS REBOILER (CO2 REMOVAL UNIT),USE CLASS CAW3,,
CEA ,CORROSIVE HYDROCARBON LIQUID & VAPOR,USE CLASS CE,,
CEG ,CORROSIVE HYDROCARBON LIQUID & VAPOR,USE CLASS CE,,
CFB ,CORROSIVE HYDROCARBON,USE CLASS CFA,,
CFV ,CORROSIVE HYDROCARBON LIQUID & VAPOR,USE CLASS CFA,,
CFVJ,CORROSIVE HYDROCARBON LIQUID & VAPOR,USE CLASS CFA,,
CHL ,DEMINERALIZED WATER\, DISPERSANT\, BFW CHEMICALS\, DEMINERALIZER REGENERATION SOLUTIONS,USE CLASS CJL,,
CJG ,RICH CATACARB SOLUTION AT CONTROL VALVE TO REGENERATOR (14-1103),USE CLASS CJ,,
CN  ,WET ELECTROSTAIC PRECIPITATOR LIQUID\, CHEMICAL MIXTURES,NONE. SPECIALTY ENGINEERED ITEM,PCSSME,1997-10-8
CSL ,SULFURIC ACID\, COOLING WATER INHIBITOR\, HIGHLY CORROSIVE AQUEOUS SOLUTIONS,USE CLASS CX FOR SULFURIC ACID AND CY FOR COOLING WATER INHIBITOR,pcssme,1996-6-6
CV  ,CHEMICAL WASTE\, 2% TO 10% SULFURIC ACID LOW PRESSURE AND ABOVE GROUND GRAVITY DRAIN PIPING,NONE,PCSSME,1997-11-14
DAF ,HYDROCARBON LIQUID & VAPOR (STABILIZER BOTTOMS) (501F TO 750F)\, DEA (TO 260F),USE CLASS DAD FOR HYDROCARBON LIQUID & VAPORS; CLASS DAC3 FOR DEA,,
