Note_No,Note_Text,Last_Updt_Id,Last_Updt_Date
1,LIMITED TO 600 PSIG AT 750F.  FOR HIGHER RATING\, USE YARWAY SERIES 460 OR 515.,,
2,CERTIFIED MILL TEST REPORTS REQUIRED.,,
3,MINIMIZE USE OF FLANGED CONNECTIONS.,,
4,USE CLASS 300 ONLY WHEN SPECIFICALLY REQUIRED TO MATCH CLASS 300 FLANGES ON EQUIPMENT OR CONTROL VALVES.,,
5,USE FOR VENTS\, DRAINS AND ORIFICE TAPS AND PRESSURE INSTRUMENT CONNECTIONS.,SILVERM3,2008-4-3
6,FOR VESSELS\, USE 1\" FLANGED GAUGE VALVES; ORDER MALE SOCKETWELD VALVE AND MATCHING SOCKETWELD FLANGE ON SEPARATE DOCUMENTS FOR WELDING BY OTHERS.,ASAHIDT,2004-1-20
7,USE BUTTWELD END FITTINGS AND/OR FLANGES WHEN SPECIFICALLY REQUIRED.,,
8,WHEN ORDERING WELD END VALVES\, SPECIFY BORE TO MATCH MATING PIPE.,,
9,USE \"HUB TYPE\" FOR SIZES MANUFACTURED PER ASME B16.5. FOR BORED BLIND FLANGE\, VERIFY DESIGN FOR ADEQUATE REINFORCEMENT.,,
10,USE API 605 FLANGES ONLY WHEN NECESSARY TO MATCH API 605 EQUIPMENT NOZZLE.,,
12,USE ONLY WHERE INDICATED ON P&ID DRAWINGS.,,
13,18\" AND LARGER NOT TO API-600 FACE-TO-FACE DIMENSIONS.,,
14,SEE VALVE SPECIFICATION SHEET FOR TEMPERATURE LIMIT; USE ONLY WHERE TIGHT SHUTOFF IS REQUIRED.,,
15,TEMPERATURE LIMITED BY VITON SEAL.,,
16,USE ONLY WHERE TIGHT SHUTOFF IS REQUIRED.,,
18,TEMPERATURE LIMITED BY TEFLON SEAL.,,
19,USE ONLY WHERE PRESSURE-TEMPERATURE LIMIT OF BALL VALVES IS EXCEEDED.,,
20,DOUBLE BLOCK & BLEED VALVES SHALL NOT BE USED IN AMMONIA SERVICE.,,
21,TEMPERATURE LIMITED BY GVM OR KALREZ SEALS.,,
22,USE ONLY DOWNSTREAM OF OIL FILTERS.,,
23,USE FOR VENTS AND DRAINS ONLY.,,
24,ALL FLANGED VALVES AND WELDING FLANGES SHALL HAVE A 125-250 AARH FINISH ON GASKET SURFACE.,,
25,USE 1/2\" TO 1-1/2\" AGAINST FLANGED EQUIPMENT NOZZLES ONLY.,PCSSME,1997-6-19
26,USE GATE VALVE  FOR BATTERY LIMIT BLOCK VALVES.,,
27,INSTALL IN HORIZONTAL POSITION ONLY.,,
28,USE FLAT FACE FLANGES WITH FULL FACE GASKET WHEN REQUIRED TO MATCH FLAT FACE FLANGED EQUIPMENT.,,
29,CHECK VALVE SHALL NOT BE INSTALLED DIRECTLY AGAINST BUTTERFLY VALVE.,,
30,ALL BURIED PIPING\, EXCEPT GALVANIZED\, SHALL BE COATED AND WRAPPED IN ACCORDANCE WITH ARCO PRODUCTS COMPANY ENGINEERING STANDARD 503.,,
31,USE ONLY FOR PLANT AIR SERVICE.,,
32,BUTTERFLY VALVES PREFERRED OVER GATE VALVES IN UNDERGROUND SERVICE.  RUBBER LINED BUTTERFLY VALVES SHALL BE BOLTED UP IN OPEN POSITION.,,
33,ALL PIPE AND FITTINGS SHALL BE CEMENT LINED PER AWWA STD. C205\, LATEST REVISION.,,
34,USE FLANGED STEEL GATE VALVES FOR HEADER BLOCK VALVES.,,
35,ORDER COUPLINGS REQUIRED BY THIS SPECIFICATION ON SEPARATE PROCUREMENT DOCUMENT.,,
36,USE ONLY WHERE FLUID VELOCITY IS OVER 200 FEET PER SECOND.,,
37,USE FLANGED ADAPTERS FOR ALL VALVE INSTALLATIONS.,,
38,AT LAST BLOCK VALVE\, MATCH FLANGE RATING.,ASAHIDT,2004-1-20
39,IF  SEAMLESS  PIPE IN SIZES 16\" AND LARGER IS UNAVAILABLE\,  WELDED PIPE TO ASTM A691 CLASS 22  MAY BE SUBSTITUTED.,,
40,3\" AND UNDER CEMENT LINED PIPE NOT AVAILABLE PER AWWA C205.,,
41,USE MANHOLES FOR CHANGES IN DIRECTION OR ELEVATION.,,
42,MINIMUM LINE SIZE SHALL BE 1\" EXCEPT FOR VENTS AND ORIFICE TAP CONNECTIONS.,,
