Manuf_Name,Contact_Name,Street,City,State,Zip,Phone_No,Alt_Phone_No,Last_Updt_Id,Last_Updt_Date
3 P                                               ,Laurie Love,5055 Cranswick,Houston,TX,77041,(713)690-4800,(   )   -,PCS41CR,1997-9-4
ADAMS                                             ,Sidney Hebert - Engineering Manager,10649 Haddington Dr. #160,Houston,TX,77043,(713)973-2490,(   )   -,PCSSME,1998-1-20
ANVIL                                             ,Cecil Quick,,,,,(909)864-7769,(   )   -,PCS41CR,1997-9-3
APCO                                              ,Robert Ford,1420 S. Wright Blvd.,Schaumberg,IL,60193,(847)524-9000,(   )   -,PCSSME,1998-1-19
ASAHI/AMERICA                                     ,Leo Lester,P.O. Box 653\, 35 Green St.,Malden,MA,02148,(800)343-3618,(   )   -,PCSSME,1998-1-19
BONNEY FORGE                                      ,Jim Pease,P.O. Box 359,Mount Union,PA,17066,(800)231-0655,(800)345-7546,PCSSME,1998-11-30
BRAY INTERNATIONAL (McCANNALOK)                   ,Rich Redilla or Chuck Pickering,13333 Westland East Blvd.,Houston,TX,77041,(281)894-5454,(   )   -,PCS41CR,1997-9-4
CENTERLINE                                        ,Jerry Priest,3201 Walnut Ave.,Long Beach,CA,90807,(562)426-2531,(   )   -,PCSSME,1998-1-19
CHEMTROL                                          ,,,,,,,,,
CIRCLE SEAL                                       ,Rob Pink,P.O. Box 434,Creston,CA,93432,(805)238-5479,(   )   -,PCS41CR,1997-9-4
CLOW                                              ,,,,,,,,,
COOPER                                            ,Ron Dillard- Engineering Mgr,1020 Rankin Road,Houston,TX,77073,(281)443-7000,(800)945-9898,PCSSME,1998-1-20
CRANE                                             ,John Bell - Product Manager,3201 Walnut Ave.,Long Beach,CA,90807,(562)426-2531,(   )   -,PCSSME,1998-11-30
DOW PLASTIC                                       ,John Kalnins,4675 East Wielder Rd,Bay City,MI,48706,(800)233-7577,(   )   -,PCSSME,1998-1-20
DURCO                                             ,Steve Moore,P.O Box 2609,Cookeville,TN,38502,(800)241-3763,(   )   -,PCSSME,1999-1-12
EDWARD                                            ,Jean Davis,1900 So. Saunders Street,Raleigh,NC,27603,(800)225-6989,(   )   -,PCS41CR,1997-9-4
FLOWSEAL                                          ,Jerry Priest - VP,3201 Walnut Ave.,Long beach,CA,90807,(562)426-2531,(   )   -,PCSSME,1998-1-19
FLOWSERVE (was Durco)                             ,Dan Adams,2255 Morello Ave.\, Suite 213,Pleasant Hill,CA,94523,(510)827-0563,(   )   -,PCS41CR,1997-9-3
GENERAL TWIN SEAL                                 ,Gordon Smith,800 Koomey Rd.,Brookshire,TX,77423,(281)934-6140,(   )   -,PCSSME,1998-1-20
GROVE                                             ,Ian Hardy - Engineering Mgr,11100 West Airport Blvd.,Stafford,TX,77477,(281)568-2211,(800)847-1099,PCSSME,1998-1-20
HEX                                               ,,,,,,,,,
HOERBIGER                                         ,Michael Urie,1381 S.W. 30th Street,Pompano Beach,FL,33069,(954)974-5700,(954)984-6288,PCSSME,1998-1-20
JAMESBURY                                         ,Eric Fillion - Engineering Manager,640 Lincoln Street,Worcester,MA,01615,(508)852-0215,(   )   -,PCSSME,1998-11-25
JENKINS                                           ,,,,,,(   )   -,(   )   -,PCSSME,1998-11-30
KEYSTONE - YARWAY                                 ,Jeff Hicks,,,CA,,(909)598-5024,(   )   -,PCS41CR,1997-9-4
KITZ                                              ,Tom Waldman - Chief Engineer,10750 Corporate Drive,Stafford,TX,77477,(713)491-7333,(   )   -,PCSSME,1998-11-30
LADISH VALVES                                     ,Bruce Kasten - Chief Engineer,P.O. Box 790,Cynthiana,KY,41031,(606)234-1100,(   )   -,PCSSME,1998-1-20
LUNKENHEIMER                                      ,,,,,,(   )   -,(   )   -,PCSSME,1998-11-30
METAL GOODS MANUFACTURING (MGM)                   ,Harley H. Gray Jr. - VP Engineering,309 W. Hensley Blvd,Bartlesville,OK,74003,(918)336-4282,(800)628-4282,PCSSME,1998-1-20
MOKVELD Valves                                    ,Dana Wilson,4900 Woodway Drive\, Ste #850,Houston,TX,77056,(800)814-8800,(   )   -,PCSSME,1998-1-20
NEWCO                                             ,Cliff Johnson,1300 Gazin Street,Houston,TX,77020,(713)675-8631,(   )   -,PCSSME,1998-11-30
NIBCO                                             ,,,,,,(   )   -,(   )   -,PCSSME,1998-11-30
NORDSTROM                                         ,,,,,,,,,
ORBIT                                             ,Stan Allen - Product Engineer,P.O. Box 193520,Little Rock,AR,72219,(501)570-5679,(   )   -,PCSSME,1998-1-19
PACIFIC                                           ,Shanelle Hall - Product Manager,3201 Walnut Ave.,Long Beach,CA,90807,(562)426-2531,(   )   -,PCSSME,1998-11-25
POSI-SEAL                                         ,,,,,,(   )   -,(   )   -,PCSSME,1998-3-25
POWELL                                            ,Jack Brown _ Sales Manager,2503 Spring Avenue,Cincinnati,OH,45214,(513)852-2028,(   )   -,PCSSME,1998-1-19
RAIMONDI                                          ,Mike or Tom Lockwood,8801 Wallisville Road,Houston,TX,77029,(713)674-9511,(   )   -,PCSSME,1998-1-19
