Class_Code,Rev_Date,Piping_Comp_Name,Rev_Desc,Last_Updt_Id,Last_Updt_Date
DA  ,19971208,GASKETS                                                                                             ,Replaced Tang Core with JM Clipper Elastagraph or approved substitute. ,PCSSME  ,1997-12-8
DA  ,19980804,GATE VALVES                                                                                         ,Added extended body valves for vents and drains.,PCSSME  ,1998-8-4
DA  ,19980805,ORBIT VALVES (MAX. 500F)                                                                            ,Added Note 176 stating that Orbit valves are fully bi-directional at full rated pressure.,PCSSME  ,1998-8-5
DA  ,19990510,GATE VALVES                                                                                         ,Added screwed end valves for EPA regulated fluid only.,PCSSME  ,1999-5-10
DA  ,19990512,BUTTERFLY VALVES                                                                                    ,Added,PCSSME  ,1999-5-12
DA  ,19990609,PLUGS                                                                                               ,Changed to pressure relief plugs.,PCSSME  ,1999-6-9
DAA ,19970109,PIPE                                                                                                ,Changed A53 and API 5L to A106.,PCSSME  ,1997-1-15
DAA ,19971203,BELLOWS- SEAL GATE VALVES                                                                           ,Added BSV's with 321SS bellows.,PCSSME  ,1997-12-3
DAA ,19971203,FITTINGS                                                                                            ,Added Note 163.,PCSSME  ,1997-12-3
DAA ,19971204,,Made all BSV's full stellited\, from half stellited\, to match manufacturers' standard.,PCSSME  ,1997-12-4
DAA ,19971204,GATE VALVES                                                                                         ,Added a Special Note that gate valves 2\" and smaller are considered tight shut off.,PCSSME  ,1997-12-4
DAA ,19971208,GASKETS                                                                                             ,Added JM Clipper Elastagraph or approved substitute. Added Note 169 to spiral wound gasket.,PCSSME  ,1997-12-8
DAA ,19971210,BELLOWS- SEAL GLOBE VALVES                                                                          ,Added BSV's with 321SS bellows.,PCSSME  ,1997-12-10
DAA ,19980804,GATE VALVES                                                                                         ,Added extended body valves for vents and drains.,PCSSME  ,1998-8-4
DAA ,19980805,ORBIT VALVES                                                                                        ,Added Note 176 stating that Orbit valves are fully bi-directional at full rated pressure.,PCSSME  ,1998-8-5
DAA ,19990510,GATE VALVES                                                                                         ,Added screwed end valves for EPA regulated fluid only.,PCSSME  ,1999-5-10
DAA ,19990512,BUTTERFLY VALVES                                                                                    ,Added,PCSSME  ,1999-5-12
DAA ,19990609,PLUGS                                                                                               ,Changed to pressure relief plugs.,PCSSME  ,1999-6-9
DAB ,19970109,PIPE                                                                                                ,Changed A53 and API 5L to A106.,PCSSME  ,1997-1-9
DAB ,19971203,BELLOWS- SEAL GATE VALVES                                                                           ,Added BSV's with 321SS bellows.,PCSSME  ,1997-12-3
DAB ,19971203,BELLOWS- SEAL GLOBE VALVES                                                                          ,Added BSV's with 321SS bellows.,PCSSME  ,1997-12-3
DAB ,19971203,FITTINGS                                                                                            ,Added Note 163.,PCSSME  ,1997-12-3
DAB ,19971204,,Made all BSV's full stellited\, from half stellited\, to match manufacturers' standard.,PCSSME  ,1997-12-4
DAB ,19971204,GATE VALVES                                                                                         ,Added a Special Note that gate valves 2\" and smaller are considered tight shut off.,PCSSME  ,1997-12-4
DAB ,19971208,GASKETS                                                                                             ,Added JM Clipper Elastagraph or approved substitute. Added Note 169 to spiral wound gasket.,PCSSME  ,1997-12-8
DAB ,19980804,GATE VALVES                                                                                         ,Added extended body valves for vents and drains.,PCSSME  ,1998-8-4
DAB ,19980805,ORBIT VALVES (MAX. 500F)                                                                            ,Added Note 176 stating that Orbit valves are fully bi-directional at full rated pressure.,PCSSME  ,1998-8-5
DAB ,19990510,GATE VALVES                                                                                         ,Added screwed end valves for EPA regulated fluid only.,PCSSME  ,1999-5-10
DAB ,19990512,BUTTERFLY VALVES                                                                                    ,Added,PCSSME  ,1999-5-12
DAB ,19990609,PLUGS                                                                                               ,Changed to pressure relief plugs.,PCSSME  ,1999-6-9
