Valve_No,Valve_Comp_Name,Component_Text,Last_Updt_Id,Last_Updt_Date
V00010,BODY                                              ,CAST IRON; ASTM A126 CLASS B,,2008-4-2
V00010,BONNET                                            ,BOLTED\, OUTSIDE SCREW & YOKE\, RISING STEM,,2008-4-2
V00010,DISC                                              ,SOLID,,2008-4-2
V00010,ENDS                                              ,FLAT FACE FLANGED,,2008-4-2
V00010,OPERATOR                                          ,2\" - 10\" HANDWHEEL\, 12\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,SILVERM3,2008-4-2
V00010,PACKING                                           ,NON-ASBESTOS BRAIDED FIBERS,,2008-4-2
V00010,PORT                                              ,N/A,,2008-4-2
V00010,RATING                                            ,ANSI CLASS 125,,2008-4-2
V00010,STANDARD                                          ,---,,2008-4-2
V00010,STEM                                              ,MANGANESE BRONZE/BRASS/SILICON BRONZE,,2008-4-2
V00010,TRIM                                              ,DISC: BRONZE\, SEAT: BRONZE,,2008-4-2
V00010,TYPE                                              ,GATE,,2008-4-2
V00020,BODY                                              ,CAST IRON; ASTM A126 CLASS B,,
V00020,BONNET                                            ,BOLTED\, INSIDE SCREW\, NON-RISING STEM,,
V00020,DISC                                              ,DOUBLE W/CAM TYPE MECHANISM,,
V00020,ENDS                                              ,FLAT FACE FLANGED,,
V00020,OPERATOR                                          ,ADJUSTABLE INDICATOR POST (FM OR UL APPROVED PATTERN)\, FIGURE NO. 641,,
V00020,PACKING                                           ,\"O\" RINGS\, RUBBER (BUNA-N),,
V00020,PORT                                              ,N/A,,
V00020,RATING                                            ,ANSI CLASS 125,,
V00020,STANDARD                                          ,---,,
V00020,STEM                                              ,MANGANESE BRONZE,,
V00020,TRIM                                              ,DISC: BRONZE\, SEAT: BRONZE,,
V00020,TYPE                                              ,GATE (FM OR UL APPROVED),,
V00030,BODY                                              ,CAST SEMI-STEEL,,
V00030,BONNET                                            ,BONNETLESS\, OS&Y,,
V00030,DISC                                              ,KNIFE,,
V00030,ENDS                                              ,RAISED FACE FLANGED,,
V00030,OPERATOR                                          ,HANDWHEEL,,
V00030,PACKING                                           ,HIGH TEMPERATURE FLAX\, NON-ASBESTOS,,
V00030,PORT                                              ,REDUCED,,
V00030,RATING                                            ,ANSI CLASS 125,,
V00030,STANDARD                                          ,---,,
V00030,STEM                                              ,316 STAINLESS STEEL,,
V00030,TRIM                                              ,DISC: 316 STAINLESS STEEL\, SEAT: EPDM IN 316SS OR 17-4PH SEAT RING,,
V00030,TYPE                                              ,GATE VALVE - KNIFE,,
V00040,BODY                                              ,CAST IRON; ASTM A126 CLASS B,,
V00040,BONNET                                            ,BOLTED\, OS&Y\, RISING STEM,,
V00040,DISC                                              ,SOLID,,
V00040,ENDS                                              ,SCREWED,,
V00040,OPERATOR                                          ,HANDWHEEL,,
V00040,PACKING                                           ,NON-ASBESTOS BRAIDED FIBERS,,
V00040,PORT                                              ,FULL,,
V00040,RATING                                            ,ANSI CLASS 125,,
V00040,STANDARD                                          ,MSS-SP-70,,
V00040,STEM                                              ,BRONZE OR BRASS,,
V00040,TRIM                                              ,DISC: BRONZE\, SEAT: BRONZE,,
V00040,TYPE                                              ,GATE,,
V00500,BODY                                              ,CAST IRON; ASTM A126 CLASS B,,
V00500,BONNET                                            ,BOLTED CAP,,
V00500,DISC                                              ,SOLID CLOSER,,
V00500,ENDS                                              ,FLAT FACE FLANGED,,
V00500,OPERATOR                                          ,N/A,,
V00500,PACKING                                           ,N/A,,
V00500,PORT                                              ,N/A,,
V00500,RATING                                            ,ANSI CLASS 125,,
V00500,STANDARD                                          ,ANSI,,
V00500,STEM                                              ,N/A,,
V00500,TRIM                                              ,DISC: BRONZE\, SEAT: BRONZE,,
V00500,TYPE                                              ,CHECK VALVE (FM OR UL APPROVED) - SWING TYPE,,
V00501,BODY                                              ,CAST IRON; ASTM A126 CLASS B,,
V00501,BONNET                                            ,BOLTED CAP,,
V00501,DISC                                              ,SOLID CLOSER,,
V00501,ENDS                                              ,FLAT FACE FLANGED,,
V00501,OPERATOR                                          ,N/A,,
V00501,PACKING                                           ,N/A,,
V00501,PORT                                              ,N/A,,
V00501,RATING                                            ,ANSI CLASS 125,,
V00501,STANDARD                                          ,MSS SP-71\, ANSI B16.1,,
V00501,STEM                                              ,N/A,,
V00501,TRIM                                              ,DISC: BRONZE\, SEAT: BRONZE,,
V00501,TYPE                                              ,CHECK VALVE - SWING,,
V00520,BODY                                              ,CAST IRON; ASTM A126 CLASS B,,
V00520,BONNET                                            ,BOLTED CAP,,
V00520,DISC                                              ,SOLID CLOSER,,
V00520,ENDS                                              ,SCREWED,,
V00520,OPERATOR                                          ,N/A,,
V00520,PACKING                                           ,N/A,,
V00520,PORT                                              ,N/A,,
V00520,RATING                                            ,ANSI CLASS 125,,
V00520,STANDARD                                          ,MSS-SP-71,,
V00520,STEM                                              ,N/A,,
V00520,TRIM                                              ,DISC: BRONZE\, SEAT: BRONZE,,
V00520,TYPE                                              ,CHECK - SWING TYPE,,
V00530,BALL                                              ,SOLID PVC,,
V00530,BODY                                              ,SOLID PVC; ASTM D1784\, CLASS 13447-B,PCSSME  ,1999-7-20
V00530,ENDS                                              ,SOCKETWELD,,
V00530,OPERATOR                                          ,N/A,,
V00530,PACKING                                           ,VITON \"O\" RING SEALS,,
V00530,PORT                                              ,N/A,,
V00530,RATING                                            ,150 PSI @ 73F,,
V00530,STANDARD                                          ,MANUFACTURER'S STANDARD,PCSSME  ,1999-7-7
V00530,TRIM                                              ,BALL: SOLID PVC\, SEAT: VITON,PCS41CR ,1997-7-30
V00530,TYPE                                              ,CHECK VALVE - BALL (DOUBLE ENTRY),,
V00531,BALL                                              ,SOLID CPVC,PCSSME  ,1999-7-7
V00531,BODY                                              ,CPVC\, ASTM D-1784\, CLASS 23447-B,PCSSME  ,1999-7-7
V00531,BONNET                                            ,THREADED\, END ENTRY,PCSSME  ,1999-7-7
V00531,ENDS                                              ,SOCKETWELD,PCSSME  ,1999-7-7
V00531,PATTERN                                           ,REGULAR OR VENTURI,PCSSME  ,1999-7-7
V00531,RATING                                            ,150 PSI @ 73F,PCSSME  ,1999-7-7
V00531,SEATS                                             ,TEFLON,PCSSME  ,1999-7-7
V00531,STANDARD                                          ,MANUFACTURER'S STANDARD,PCSSME  ,1999-7-7
V00531,STEM SEAL                                         ,VITON O-RING,PCSSME  ,1999-7-7
V00531,TYPE                                              ,CHECK VALVE-BALL (DOUBLE ENTRY),PCSSME  ,1999-7-7
V00535,BALL                                              ,SOLID CPVC,PCS41CR ,1997-8-5
V00535,BODY                                              ,CPVC\,  ASTM F-439,PCS41CR ,1997-8-6
V00535,ENDS                                              ,SOCKETWELD,PCS41CR ,1997-8-5
V00535,OPERATOR                                          ,N/A,PCS41CR ,1997-8-5
V00535,PORT                                              ,N/A,PCS41CR ,1997-8-5
V00535,RATING                                            ,150 PSI @ 120F,PCS41CR ,1997-8-7
V00535,STANDARD                                          ,---,PCS41CR ,1997-8-5
V00535,TRIM                                              ,BALL: SOLID CPVC\, SEAT: VITON O-RING\, SEALS: VITON,PCS41CR ,1997-8-7
