id,description,lock_version,updated_at,created_at,unit_no
1,UNSPECIFIED,0,1/8/2009 0:00,1/8/2009 0:00,
2,ALKY MEROX,0,1/8/2009 0:00,1/8/2009 0:00,4500
3,ALKY,0,1/8/2009 0:00,1/8/2009 0:00,4000
4,BUTAMER,0,1/8/2009 0:00,1/8/2009 0:00,8200
5,C3 SPLITTER,0,1/8/2009 0:00,1/8/2009 0:00,7600
6,CLAUS A,0,1/8/2009 0:00,1/8/2009 0:00,6701
8,CLAUS B,0,1/8/2009 0:00,1/8/2009 0:00,6702
10,CLAUS C,0,1/8/2009 0:00,1/8/2009 0:00,6703
11,CLAUS D,0,1/8/2009 0:00,1/8/2009 0:00,6704
12,#1 COKER,0,1/8/2009 0:00,1/8/2009 0:00,6100
13,#1 CRUDE,0,1/8/2009 0:00,1/8/2009 0:00,3100
14,#4 CRUDE,0,1/8/2009 0:00,1/8/2009 0:00,3400
15,#1 DEHEX,0,1/8/2009 0:00,1/8/2009 0:00,4801
16,#2 DEHEX,0,1/8/2009 0:00,1/8/2009 0:00,4801
17,FCC,0,1/8/2009 0:00,1/8/2009 0:00,
18,HYDROCRACKER,0,1/8/2009 0:00,1/8/2009 0:00,
19,#1 HYDROGEN PLANT,0,1/8/2009 0:00,1/8/2009 0:00,500
20,#2 HYDROGEN PLANT,0,1/8/2009 0:00,1/8/2009 0:00,8000
21,ISOM,0,1/8/2009 0:00,1/8/2009 0:00,2400
22,JET TREATER,0,1/8/2009 0:00,1/8/2009 0:00,600
23,#1 REFORMER LIGHT HYDRO,0,1/8/2009 0:00,1/8/2009 0:00,2500
24,#2 REFORMER LPG,0,1/8/2009 0:00,1/8/2009 0:00,2800
25,FCC LIQUIDS RECOVERY (LRU),0,1/8/2009 0:00,1/8/2009 0:00,1700
26,MID BARREL,0,1/8/2009 0:00,1/8/2009 0:00,1900
27,#3 REFORMER,0,1/8/2009 0:00,1/8/2009 0:00,2901
28,#1 REFORMER DESULF,0,1/8/2009 0:00,1/8/2009 0:00,2102
29,#2 REFORMER/DESULF,0,1/8/2009 0:00,1/8/2009 0:00,2202
30,#4 STEAM  PLANT,0,1/8/2009 0:00,1/8/2009 0:00,8400
31,#1 TAIL GAS,0,1/8/2009 0:00,1/8/2009 0:00,6801
32,#2 TAIL GAS,0,1/8/2009 0:00,1/8/2009 0:00,6800
33,51 VACUUM S/R,0,1/8/2009 0:00,1/8/2009 0:00,5100
34,SRD,0,1/8/2009 0:00,1/8/2009 0:00,2701
35,#7 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8803
36,#10 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8902
37,#12 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8806
38,#13 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8903
39,#14 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8904
40,FFHDS,0,1/8/2009 0:00,1/8/2009 0:00,2300
41,NESHAPS SOUTH,0,1/8/2009 0:00,1/8/2009 0:00,3500
42,#2 DEBUTANIZER,0,1/8/2009 0:00,1/8/2009 0:00,8102
43,WASH SLAB,0,1/8/2009 0:00,1/8/2009 0:00,
44,SUPPORT SERVICES,0,1/8/2009 0:00,1/8/2009 0:00,
45,#2 CRUDE,0,1/8/2009 0:00,1/8/2009 0:00,3200
46,52 VACUUM,0,1/8/2009 0:00,1/8/2009 0:00,5200
47,#15 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8905
48,LED,0,1/8/2009 0:00,1/8/2009 0:00,2700
49,NORTH AREA DIB,0,1/8/2009 0:00,1/8/2009 0:00,2702
50,SOUR WATER STRIPPER A,0,1/8/2009 0:00,1/8/2009 0:00,6900
51,SOUR WATER STRIPPER B,0,1/8/2009 0:00,1/8/2009 0:00,6900
60,#41 BOILER,0,1/8/2009 0:00,1/8/2009 0:00,8400
61,CGF SWING,0,1/8/2009 0:00,1/8/2009 0:00,4800
62,#2 COKER,0,1/8/2009 0:00,1/8/2009 0:00,6300
63,COKER GAS FRAC,0,1/8/2009 0:00,1/8/2009 0:00,4800
64,#01 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8808
65,#02 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,
66,#03 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,
67,#04 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,
68,#05 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8801
69,#06 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,
70,#08 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8804
71,#09 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8901
72,#11 COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8805
73,HDS (FFHDS),0,1/8/2009 0:00,1/8/2009 0:00,2300
74,SOUTH DEA CONTACTER,0,1/8/2009 0:00,1/8/2009 0:00,6800
75,#1 DEA,0,1/8/2009 0:00,1/8/2009 0:00,901
76,#2 DEA,0,1/8/2009 0:00,1/8/2009 0:00,902
77,#3 DEA,0,1/8/2009 0:00,1/8/2009 0:00,6501
78,#4 DEA,0,1/8/2009 0:00,1/8/2009 0:00,6502
79,#5 DEA,0,1/8/2009 0:00,1/8/2009 0:00,6503
80,#1 DEBUTANIZER,0,1/8/2009 0:00,1/8/2009 0:00,8102
81,#3 DEBUTANIZER,0,1/8/2009 0:00,1/8/2009 0:00,8102
82,#4 DEBUTANIZER,0,1/8/2009 0:00,1/8/2009 0:00,8102
83,EAST VAPOR CAUSTIC TOWER,0,1/8/2009 0:00,1/8/2009 0:00,5500
84,#1 REFORMER,0,1/8/2009 0:00,1/8/2009 0:00,2101
85,#2 REFORMER,0,1/8/2009 0:00,1/8/2009 0:00,2201
86,#1 TREATER GEN,0,1/8/2009 0:00,1/8/2009 0:00,3800
87,ISO OCTENE,0,1/8/2009 0:00,1/8/2009 0:00,4400
88,#3 JOY AIR COMPRESSOR,0,1/8/2009 0:00,1/8/2009 0:00,8302
89,#4 JOY AIR COMPRESSOR,0,1/8/2009 0:00,1/8/2009 0:00,8401
90,MTBE,0,1/8/2009 0:00,1/8/2009 0:00,4400
91,MULTIPLE UNITS,0,1/8/2009 0:00,1/8/2009 0:00,
92,#1 NAPHTHA SPLITTER,0,1/8/2009 0:00,1/8/2009 0:00,8102
93,#2 NAPHTHA SPLITTER,0,1/8/2009 0:00,1/8/2009 0:00,8102
94,#3 NAPHTHA SPLITTER,0,1/8/2009 0:00,1/8/2009 0:00,8102
95,NESHAPS NORTH,0,1/8/2009 0:00,1/8/2009 0:00,3500
96,NORTH AREA SOUR WATER DRUM,0,1/8/2009 0:00,1/8/2009 0:00,8609
98,SOUTH AREA DIB (SFIA),0,1/8/2009 0:00,1/8/2009 0:00,5500
99,SULFUR PLANT,0,1/8/2009 0:00,1/8/2009 0:00,
100,5TH SECTION,0,1/8/2009 0:00,1/8/2009 0:00,
101,OFFICE SUPPLIES,0,1/8/2009 0:00,1/8/2009 0:00,
102,WAREHOUSE,0,1/8/2009 0:00,1/8/2009 0:00,
103,SURPLUS,0,1/8/2009 0:00,1/8/2009 0:00,
104,SLAB,0,1/8/2009 0:00,1/8/2009 0:00,
105,TOOL TRAILERS,0,1/8/2009 0:00,1/8/2009 0:00,
106,TAR PROCUREMENT,0,1/8/2009 0:00,1/8/2009 0:00,
107,SFIA,0,1/8/2009 0:00,1/8/2009 0:00,5500
108,ISOSIV,0,1/8/2009 0:00,1/8/2009 0:00,5900
109,#2 SOUR WATER OXID,0,1/8/2009 0:00,1/8/2009 0:00,6600
110,#2 DESULFURIZER,0,1/8/2009 0:00,1/8/2009 0:00,2202
111,DEPROPANIZER-FCC #2,0,1/8/2009 0:00,1/8/2009 0:00,1300
112,ALKY DEPENT,0,1/8/2009 0:00,1/8/2009 0:00,5300
113,WEST VAPOR CAUSTIC TOWER,0,1/8/2009 0:00,1/8/2009 0:00,5500
114,ROUTINE,0,1/8/2009 0:00,1/8/2009 0:00,
116,#5 FLARE,0,1/8/2009 0:00,1/8/2009 0:00,8001
117,STORAGE & HANDLING,0,1/8/2009 0:00,1/8/2009 0:00,7502
118,COKER GAS MEROX,0,1/8/2009 0:00,1/8/2009 0:00,4600
119,SPENT ACID HANDLING,0,1/8/2009 0:00,1/8/2009 0:00,3903
121,#5 TRAP,0,1/8/2009 0:00,1/8/2009 0:00,8702
131,FCC FLARE,0,1/8/2009 0:00,1/8/2009 0:00,1103
141,HDS FLARE,0,1/8/2009 0:00,1/8/2009 0:00,2301
151,H/C FLARE,0,1/8/2009 0:00,1/8/2009 0:00,304
201,#1 COKER S/R,0,1/8/2009 0:00,1/8/2009 0:00,9985
202,#1 CRUDE S/R,0,1/8/2009 0:00,1/8/2009 0:00,9989
203,#1 LOADING RACK,0,1/8/2009 0:00,1/8/2009 0:00,7401
204,#1 OIL TRAP,0,1/8/2009 0:00,1/8/2009 0:00,8714
205,#1 PP PKG WHS,0,1/8/2009 0:00,1/8/2009 0:00,7134
206,#1 PUMP HOUSE,0,1/8/2009 0:00,1/8/2009 0:00,7501
207,#1 PUMP HOUSE CONTROL RM,0,1/8/2009 0:00,1/8/2009 0:00,7503
208,#1 REFORMER S/R,0,1/8/2009 0:00,1/8/2009 0:00,9982
209,#1 TRT #1/2 DEHEX,0,1/8/2009 0:00,1/8/2009 0:00,4801
210,#1 TRT #1/2/3 STOVE OIL,0,1/8/2009 0:00,1/8/2009 0:00,3802
211,#1 TRT DEHAZER/LCO/DSL,0,1/8/2009 0:00,1/8/2009 0:00,3803
212,#1 TRT DILUTE CAUSTIC,0,1/8/2009 0:00,1/8/2009 0:00,3804
213,#1 TRT E/W PETRECO GAS,0,1/8/2009 0:00,1/8/2009 0:00,3801
214,#1 YARD AIR COMP,0,1/8/2009 0:00,1/8/2009 0:00,8303
215,#12A COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8807
216,#15A COOLING TOWER,0,1/8/2009 0:00,1/8/2009 0:00,8906
