id,manufacturer_id,valve_id,figure_no
1,1,664,H7VIS-4Q
2,1,665,H7VI(ALLOY 20)-4Q-SP
3,1,666,H7VIS-44Q
4,1,667,H7VIS(ALLOY 20)-44Q-SP
5,1,668,H7VISC-4Q
6,1,669,H7VISC-44Q
7,1,680,M45VIS-4
8,1,682,M4TVI-4
9,1,683,M4TVIC-4
10,1,684,PTMVIS-4
11,1,686,PTMVI-4
12,1,687,PTMVIC-4
13,2,15,121-411
14,2,18,121-419
15,2,26,121-411
16,2,27,121-418
17,2,116,321-411
18,2,118,321-419
19,2,121,321-418
20,2,127,321-411
21,2,231,621-411
22,2,248,621-419
23,2,250,621-411
24,2,379,825-311
25,2,380,821-319
26,2,381,821-519
27,2,383,821-311
28,2,384,821-511
29,2,385,825-211
30,2,386,821-319
31,2,387,821-519
32,2,388,825-511
33,2,391,825-319
34,2,392,825-519
35,2,422,860-311
36,2,423,830-319
37,2,424,830-319
38,2,425,830-311
39,2,426,860-211
40,2,427,860-319
41,2,443,841-311
42,2,444,841-319
43,2,445,841-319
44,2,446,841-211
45,3,15,L1-11-RF
46,3,18,L1-13-RF
47,3,26,L1-11-RF
48,3,27,L1-10
49,3,32,L1-16-RF
50,3,33,L1-10-RF
51,3,48,L1-30-RF
52,3,116,L3-11-RF
53,3,118,L3-10
54,3,121,L3-10-RF
55,3,127,L3-11
56,3,135,L3-16-RF
57,3,138,310-RF
58,3,140,L3-19-RF
59,3,143,L3-19-RTJ
60,3,203,L3-49-RTJ
61,3,231,L6-11
62,3,232,L6-19
63,3,236,L6-19-RTJ
64,3,244,L6-10
65,3,245,6-10
66,3,248,L6-10
67,3,250,L6-11
68,3,253,610
69,3,264,L6-16
70,3,325,L6-48
71,3,330,HL-40-SW
72,3,336,HL-40-SW
73,3,343,WL-49A-SW
74,3,379,WL-11-SW
75,3,380,HL-10-SW
76,3,381,HL-10SW/T
77,3,382,HL-10-SW/T
78,3,383,HL-11-SW
79,3,384,HL-11-SW/T
80,3,385,WL-11-T
81,3,386,HL-10-SW
82,3,387,HL-10-SW/T
83,3,388,WL-11-SW/T
84,3,389,WL-10-SW
85,3,390,WL-10-SW/T
86,3,391,WL-10-SW
87,3,392,WL-10-SW/T
88,3,393,HL-10-T
89,3,394,HL-16-SW
90,3,396,HL-16-SW/T
91,3,398,HL-10-SW
92,3,399,HL-10-SW/T
93,3,400,HL-19-SW
94,3,401,HL-19-SW/T
95,3,422,WL-31-SW
96,3,423,HL-30-SW
97,3,424,HL-30-SW
98,3,425,HL-31-SW
99,3,426,WL-31-T
100,3,427,WL-30-SW
101,3,428,WL-32-SW
102,3,429,HL-36-SW
103,3,430,HL-30-SW
104,3,431,HL-39-SW
105,3,443,HL-41-SW
106,3,444,HL-40-SW
107,3,445,HL-40-SW
108,3,446,HL-41-T
109,3,447,WL-40-SW
110,3,448,HL-46-SW
111,3,449,HL-40-SW
112,3,450,HL-49-SW
113,3,506,9WL-11-SW/T
114,3,507,9HF-11
115,3,510,9WL-19-SW/T
