"id","piping_class_id","section_no","piping_component_id","valve_id","size_desc","description","created_at","updated_at"
1,1,0,6,,"ALL","A307 GR.B MACHINE BOLT WITH HEAVY HEX NUT, ASTM A194 GR 2H",,
2,1,0,8,10,"2"" - 24""","CLASS 125/150 DUCTILE IRON : LUG TYPE",,
3,1,0,13,,"2"" - 10""","CAST IRON SOIL, ASTM A74 TAR COATED WITH COMPRESSION TYPE JOINTS : SERVICE WEIGHT, BELL & SPIGOT",,
4,1,0,13,,"12"" & LARGER","CAST IRON SOIL, ASTM A74 TAR COATED WITH COMPRESSION TYPE JOINTS : REINFORCED CONCRETE, ASTM C76",,
5,1,0,15,,"ALL","FLANGE X SPIGOT, CLOW OR EQUAL (USE WITH TRANSITION COUPLING)",,
6,1,0,30,,"2"" - 10""","COMPRESSION TYPE, NEOPRENE GASKET, ASTM C564, TYLER TY-SEAL OR EQUAL (USED W/BELL & SPIGOT PIPE)",,
7,1,0,30,,"2"" - 10""","COMPRESSION TYPE, NEOPRENE GASKET, ASTM C564, TYLER TY-SEAL OR EQUAL (USED W/BELL & SPIGOT PIPE) : COMPRESSION TYPE, NEOPRENE GASKET, ASTM C564, QUICK-TITE OR EQUAL (USED W/HUBLESS PIPE)",,
8,1,0,30,,"12"" & LARGER","COMPRESSION TYPE, NEOPRENE GASKET, ASTM C564, TYLER TY-SEAL OR EQUAL (USED W/BELL & SPIGOT PIPE) : NEOPRENE ""O"" RING GASKETS CONFORMING TO ASTM C443",,
9,1,0,43,,"2"" - 10""","CAST IRON SOIL PIPE, ASTM A74 TAR COATED, WITH COMPRESSION TYPE JOINTS, SERVICE WEIGHT : BELL & SPIGOT, 5 FT OR 10 FT LENGTHS BELL & BELL, 5 FT LENGTHS",,
10,1,0,43,,"2"" - 10""","CAST IRON A B & I HUBLESS SOIL : PIPE ASTM 888 CISPI 301-85 WITH A B & I BEST COUPLING JOINTS, IAPMO FILE #2862.",,
11,1,0,43,,"12"" - 48""","REINFORCED CONCRETE PIPE ASTM C76, WITH RESILIENT JOINT (NEOPRENE GASKET) : CLASS V, WALL B, BELL & SPIGOT 12 FT LENGTHS",,
