id,class_code,archived,service,flange_rating,max_pressure,max_temp,corrosion_allow,piping_material,small_fitting,valve_body_material,valve_trim,gasket_material,gasket_bolting,instr_spec,comments,special_note,maintenance_note,created_at,updated_at
33,CL  ,0,FLUE GAS DESULFURIZATION STREAMS (FGDS),CL 150 RF,ASME 16.5,200F,"0.0313""",316SS,CL 3000 SW,316SS,316SS/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-4,,,,,
34,CX  ,0,"SULFURIC ACID LESS THAN 90% CONCENTRATION, COMMON CAUSTIC AND ACID LINE",CL 150 RF,150 PSIG,300F,"0.050""",ALLOY 20,CL 3000 SW,ALLOY 20,ALLOY 20,GYLON,B7 STUD,S-3,,THE WELD ROOT PASS FOR BUTTWELDS SHALL BE MADE WITH THE GAS TUNGSTEN  ARC WELDING PROCESS.,,,
35,CY  ,0,"WATER TREATMENT CHEMICALS (SODIUM HYPOCHLORITE, DISPERSANT, SODIUM BROMIDE)",CL 150 RF,150 PSIG,150F,NONE,HASTELLOY C,CL 3000 SW,HASTELLOY C,HAST. C / TFE,GYLON 3510,B7 STUD,NONE,,"USE THIS LINE CLASS FOR PIPING UPSTREAM OF PRIMARY BLOCK VALVE, INCLUDING 	VALVE. LINE CLASS BV MAY BE USED FOR PIPING DOWNSTREAM OF PRIMARY BLOCK 	VALVE.",,,
36,DA  ,0,"HYDROCARBON LIQUID & VAPOR, PRESULFIDING AGENT, NITROGEN, AMMONIA, MTBE",CL 300 RF,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-1,,"A.	NO COPPER ON COPPER BEARING ALLOYS PERMITTED IN AMMONIA SERVICE.  B.	FOR AMMONIA SERVICE, USE SINGLE SEATED VALVES (E.G. GLOBE, ORBIT). DO NOT USE 	DOUBLE SEATED VALVES (E.G. GATE, TWIN SEAL).  ","A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03710.",,
37,DAA ,0,HYDROCARBON LIQUID & VAPOR,CL 300 RF,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,,,,
38,DAB ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 300 RF (125-250AARH),ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL  WND. GRAPHITE,B7 STUD,S-1,,,"EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03711.",,
39,DAC ,0,"HYDROCARBON LIQUID & VAPOR, BRINE",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-1,,,"EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND,  THE APPLICABLE VALVE CODE NUMBER IS V03710",,
40,DAC2,0,"RICH AMINE (MEA, DEA, MDEA)",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON  STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-1,NACE REQUIRED. PWHT  FOR SERVICE.,"A.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B.	VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 		 	GRADE 2H NUTS.  C.	ALL CARBON STEEL WELDS SHALL BE STRESS RELIEVED, EXCEPT SOCKETWELDS IN 	CAUSTIC AND AMINES IN LINES OPERATING AT 120OF OR LESS, REGARDLESS OF   	STEAM-OUT CONDITIONS. CAUSTIC IS DEFINED AS 5 WT% OR GREATER. ",,,
41,DAC3,0,"LEAN AMINES (MEA, DEA, MDEA), CAUSTIC (FRESH & SOUR)",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,"ALL CARBON STEEL PIPE WELDING SHALL BE STRESS RELIEVED.  SOCKETWELDS IN CAUSTIC, DEA AND MDEA SERVICE WITH OPERATING TEMPERATURES OF 120oF OR LESS DO NOT REQUIRE STRESS RELIEVING, REGARDLESS OF STEAM-OUT CONDITIONS.  CAUSTIC IS DEFINED AS 5 WT% OR GREATER SODIUM HYDROXIDE.","EXISTING PLUG VALVES SHOULD  BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBER IS V03710.",,
42,DACN,0,"WET SOUR GAS, SOUR WATER,  ACID GAS",CL 300 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STEL,COMP. ASB./ GRAPH.,B7 STUD,S-1,NACE REQUIRED,A.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B.	VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 		GRADE 2H NUTS. ,,,
