piping_note_id,piping_class_detail_id
139,3119
15,93
21,94
15,226
19,318
64,438
69,470
15,783
64,1133
25,1156
15,1197
21,1198
15,1323
64,1519
149,2169
149,2205
77,2646
6,3119
135,5
157,72
19,83
19,85
13,93
13,94
16,123
19,214
19,216
13,226
19,266
19,268
19,317
14,318
19,319
13,328
19,370
19,372
16,413
64,427
4,438
64,439
16,445
69,453
69,468
4,470
69,475
77,483
36,520
136,536
136,537
155,540
9,581
136,585
136,586
29,610
9,673
29,684
9,691
136,693
136,694
9,719
136,721
136,722
19,773
19,775
13,783
5,801
4,805
77,821
19,867
19,869
136,891
136,892
139,935
139,974
77,990
47,995
77,1006
139,1007
139,1045
139,1076
64,1125
4,1133
64,1134
5,1142
19,1188
13,1197
13,1198
19,1311
13,1323
19,1360
19,1404
19,1405
19,1451
64,1503
64,1514
16,1519
77,1554
36,1580
136,1591
136,1592
19,1679
139,1761
139,1797
139,1836
139,1872
139,1910
139,1981
77,1996
47,2000
77,2008
139,2042
139,2076
64,2091
64,2099
18,2132
18,2133
15,2141
18,2169
18,2170
18,2205
18,2206
18,2313
18,2314
15,2322
18,2350
18,2351
139,2518
43,2547
5,2549
139,2550
139,2609
51,2646
139,2647
43,2658
43,2676
5,2678
139,2679
139,2713
139,2746
139,2779
139,2804
139,2836
111,2869
111,2914
111,2959
139,3045
139,3083
5,3116
111,3117
27,3138
27,3175
27,3212
27,3247
27,3248
139,3263
27,3282
139,3297
27,3316
139,3328
137,3352
77,3355
139,3358
44,3422
45,2
41,4
37,5
38,17
136,18
136,19
146,30
124,31
146,42
25,46
5,52
5,54
25,55
27,62
9,68
136,72
136,73
25,74
4,76
4,77
5,79
6,80
14,83
4,84
14,85
12,93
12,94
5,98
25,99
27,106
136,112
25,113
4,115
4,116
5,118
6,119
16,122
4,123
16,124
5,135
25,136
27,143
136,153
25,154
4,156
4,157
5,159
6,160
14,165
25,176
5,182
5,184
25,185
27,192
9,201
136,203
136,204
25,205
4,207
4,208
5,210
6,211
14,214
4,215
14,216
12,226
25,229
25,232
5,236
25,237
27,244
9,253
136,255
136,256
25,257
4,259
4,260
5,262
6,263
14,266
4,267
14,268
25,279
5,285
5,287
25,288
27,295
9,304
136,306
136,307
25,308
4,310
4,311
5,313
6,314
14,317
4,318
14,319
12,328
25,331
25,334
5,338
5,340
25,341
27,348
9,357
136,359
136,360
25,361
4,363
4,364
5,366
6,367
14,370
4,371
14,372
5,384
25,385
27,392
136,402
25,403
4,405
4,406
5,408
6,409
16,412
4,413
16,414
2,427
65,431
146,435
62,436
2,438
2,439
65,442
2,445
3,453
8,454
27,455
9,461
136,465
136,466
25,467
3,468
8,469
3,470
5,472
6,473
8,474
3,475
11,483
2,520
29,525
27,526
9,532
28,536
28,537
25,538
26,540
4,541
4,542
34,543
78,544
35,548
136,566
32,567
31,570
26,573
7,580
7,581
28,585
28,586
25,587
4,589
4,590
34,591
78,592
35,596
32,606
26,610
7,618
7,620
146,622
25,623
25,624
4,626
4,627
78,629
35,632
35,633
136,650
136,651
146,652
35,657
29,667
7,672
7,673
136,675
136,676
32,677
26,684
27,686
7,690
7,691
28,693
28,694
25,695
4,697
4,698
34,699
78,700
35,703
7,718
7,719
28,721
28,722
25,723
4,725
4,726
34,727
52,728
78,729
35,734
25,743
5,749
27,753
7,758
7,760
136,762
136,763
25,764
4,766
4,767
5,769
6,770
14,773
4,774
14,775
12,783
3,788
8,789
8,790
27,791
136,799
136,800
2,801
3,802
8,803
8,804
3,805
5,807
6,808
3,809
8,810
8,811
11,821
3,822
3,823
8,824
8,825
25,829
5,835
5,837
25,838
27,845
9,854
136,856
136,857
25,858
4,860
4,861
5,863
6,864
14,867
4,868
14,869
28,891
28,892
5,910
25,911
27,918
48,922
136,928
25,929
4,931
4,932
5,934
6,935
5,949
25,950
27,957
48,961
136,967
25,968
4,970
4,971
5,973
6,974
46,981
27,990
22,992
9,995
148,997
50,998
136,999
136,1000
25,1001
4,1003
4,1004
77,1005
5,1006
6,1007
77,1009
148,1018
5,1021
25,1022
27,1029
136,1037
136,1038
136,1039
25,1040
4,1042
5,1044
6,1045
27,1061
136,1069
136,1070
25,1071
4,1073
5,1074
6,1076
25,1089
5,1092
25,1093
26,1097
136,1106
136,1107
25,1108
4,1110
5,1111
6,1113
2,1125
7,1128
146,1130
62,1131
2,1133
2,1134
2,1142
2,1146
2,1147
146,1152
5,1160
5,1162
25,1163
27,1170
136,1178
136,1179
25,1180
5,1183
6,1184
145,1185
145,1186
14,1188
12,1197
12,1198
5,1202
25,1203
27,1210
136,1218
25,1219
5,1222
16,1225
16,1226
5,1238
25,1239
27,1246
136,1255
25,1256
5,1259
6,1260
14,1264
25,1275
5,1279
5,1281
25,1282
27,1289
136,1301
136,1302
25,1303
5,1306
6,1307
14,1311
12,1323
25,1326
5,1330
25,1331
27,1338
136,1350
136,1351
25,1352
5,1355
6,1356
14,1360
25,1374
5,1378
5,1380
25,1381
27,1388
136,1396
25,1397
5,1400
6,1401
14,1404
14,1405
25,1415
5,1419
5,1421
25,1422
27,1429
136,1441
136,1442
25,1443
5,1446
6,1447
14,1451
5,1466
25,1467
27,1474
136,1482
25,1483
5,1486
6,1487
16,1490
16,1491
2,1503
65,1507
146,1511
62,1512
2,1514
65,1516
2,1519
8,1527
3,1528
27,1529
136,1537
25,1538
3,1539
8,1540
5,1542
6,1543
8,1544
3,1545
11,1554
2,1560
146,1566
2,1567
2,1568
2,1580
27,1584
9,1589
28,1591
28,1592
25,1593
34,1595
78,1596
35,1600
3,1609
8,1610
27,1611
136,1619
25,1620
3,1621
8,1622
5,1624
6,1625
3,1626
8,1627
3,1636
3,1637
8,1638
8,1639
25,1643
5,1647
5,1649
25,1650
27,1657
136,1669
136,1670
25,1671
5,1674
6,1675
14,1679
5,1694
25,1695
27,1702
136,1715
25,1716
5,1719
6,1720
14,1724
5,1739
25,1740
27,1747
48,1750
136,1756
25,1757
5,1760
6,1761
39,1768
5,1774
25,1775
27,1780
48,1784
146,1793
25,1794
5,1796
44,1797
51,1802
39,1804
25,1813
27,1820
48,1823
