"id","piping_component_id","description"
1,13,"coupling"
2,13,"tee"
3,13,"concentric reducer"
4,13,"eccentric reducer"
5,13,"reducing tee"
6,13,"90 deg elbow"
7,13,"45 deg elbow"
8,13,"elbowlet"
9,13,"latrolet"
10,13,"cross"
11,13,"cap"
12,13,"90 deg reducing elbow"
13,43,"pipe nipple, PBE"
14,43,"pipe nipple, TBE"
15,43,"pipe nipple, PE x TE"
16,43,"swage nipple, PBE"
17,43,"swage nipple, TBE"
18,43,"swage nipple, BBE"
19,43,"swage nipple, PLE x PSE"
20,43,"swage nipple, PLE x BSE"
21,43,"swage nipple, PLE x TSE"
22,43,"swage nipple, BLE x PSE"
23,43,"swage nipple, BLE x BSE"
24,43,"swage nipple, BLE x TSE"
25,43,"swage nipple, TLE x PSE"
26,43,"swage nipple, TLE x BSE"
27,43,"swage nipple, TLE x TSE"
