id,valve_id,component_name,component_text,created_at,updated_at
1,1,BODY,CAST IRON; ASTM A126 CLASS B,,
2,1,BONNET,"BOLTED, OUTSIDE SCREW & YOKE, RISING STEM",,
3,1,DISC,SOLID,,
4,1,ENDS,FLAT FACE FLANGED,,
5,1,OPERATOR,"2"" - 12"" HANDWHEEL, 14"" - 24"" GEAR OPERATED",,
6,1,PACKING,NON-ASBESTOS BRAIDED FIBERS,,
7,1,PORT,N/A,,
8,1,RATING,ANSI CLASS 125,,
9,1,STANDARD,---,,
10,1,STEM,MANGANESE BRONZE/BRASS/SILICON BRONZE,,
11,1,TRIM,"DISC: BRONZE, SEAT: BRONZE",,
12,1,TYPE,GATE,,
13,2,BODY,CAST IRON; ASTM A126 CLASS B,,
14,2,BONNET,"BOLTED, INSIDE SCREW, NON-RISING STEM",,
15,2,DISC,DOUBLE W/CAM TYPE MECHANISM,,
16,2,ENDS,FLAT FACE FLANGED,,
17,2,OPERATOR,"ADJUSTABLE INDICATOR POST (FM OR UL APPROVED PATTERN), FIGURE NO. 641",,
18,2,PACKING,"""O"" RINGS, RUBBER (BUNA-N)",,
19,2,PORT,N/A,,
20,2,RATING,ANSI CLASS 125,,
21,2,STANDARD,---,,
22,2,STEM,MANGANESE BRONZE,,
23,2,TRIM,"DISC: BRONZE, SEAT: BRONZE",,
24,2,TYPE,GATE (FM OR UL APPROVED),,
25,3,BODY,CAST SEMI-STEEL,,
26,3,BONNET,"BONNETLESS, OS&Y",,
27,3,DISC,KNIFE,,
28,3,ENDS,RAISED FACE FLANGED,,
29,3,OPERATOR,HANDWHEEL,,
30,3,PACKING,"HIGH TEMPERATURE FLAX, NON-ASBESTOS",,
31,3,PORT,REDUCED,,
32,3,RATING,ANSI CLASS 125,,
33,3,STANDARD,---,,
34,3,STEM,316 STAINLESS STEEL,,
35,3,TRIM,"DISC: 316 STAINLESS STEEL, SEAT: EPDM IN 316SS OR 17-4PH SEAT RING",,
36,3,TYPE,GATE VALVE - KNIFE,,
37,4,BODY,CAST IRON; ASTM A126 CLASS B,,
38,4,BONNET,"BOLTED, OS&Y, RISING STEM",,
39,4,DISC,SOLID,,
40,4,ENDS,SCREWED,,
41,4,OPERATOR,HANDWHEEL,,
42,4,PACKING,NON-ASBESTOS BRAIDED FIBERS,,
43,4,PORT,FULL,,
44,4,RATING,ANSI CLASS 125,,
45,4,STANDARD,MSS-SP-70,,
46,4,STEM,BRONZE OR BRASS,,
