id,valve_code,valve_note,manufacturers_remarks,discontinued,created_at,updated_at
1,V00010, ,,0,,
2,V00020,SPECIFY DEPTH OF TRENCH ,,0,,
3,V00030,,,0,,
4,V00040,,,0,,
5,V00500,,,0,,
6,V00501,,,0,,
7,V00520,,,0,,
8,V00530,,,0,,
9,V00540,,DISCONTINUED,1,,
10,V00800,,,0,,
11,V00810,SPECIFY LENGTH OF EXTENSION STEM ,,0,,
12,V00830,,,0,,
13,V00840,,DISCONTINUED,1,,
14,V00850,FOR 30 PSIG SERVICE OR LESS ,,0,,
15,V01000,,,0,,
16,V01001,"1. ACCEPTABLE BONNET GASKET:  GARLOCK ""GYLON"" 3500 (FAWN)  2. ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT  NO.    87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS,  DATED 11/30/87. ",,0,,
17,V01002,"1. ACCEPTABLE BONNET GASKET:  GARLOCK ""GYLON"" 3500 (FAWN)  2. ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT  NO.    87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS,  DATED 11/30/87. ",,0,,
18,V01003,,,0,,
19,V01004,,,0,,
20,V01005,,,0,,
21,V01006,,,0,,
22,V01007,,DISCONTINUED,1,,
23,V01008,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
24,V01009,,,0,,
25,V01010,,,0,,
26,V01011,,,0,,
27,V01012,"VALVE SHALL CONFORM TO NACE MR 01-75, EXCEPT BONNET BOLTS MAY BE  ASTM A193 GR B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED  TO BE SUBMITTED. ",,0,,
28,V01013,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE  TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED  TO BE SUBMITTED. ",,0,,
29,V01020,,,0,,
30,V01030,,,0,,
31,V01040,,,0,,
32,V01050,,,0,,
33,V01051,,,0,,
34,V01053,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
35,V01060,,,0,,
36,V01080,,,0,,
37,V01100,,,0,,
38,V01150,"VALVE SHALL BE PREPARED AND SHIPPED FOR ""OXYGEN SERVICE"". ",,0,,
39,V01160,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
40,V01161,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
41,V01165,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  2.VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY  BE TO ASTM A193 GR B7  WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT  REQUIRED TO BE  SUBMITTED. ",,0,,
42,V01300,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
43,V01301,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
44,V01350,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
45,V01351,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
46,V01352,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
47,V01400,,,0,,
48,V01401,"1. ACCEPTABLE BONNET GASKET:  GARLOCK ""GYLON"" 3500 (FAWN)  2. ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT  NO. 87349HTC0007 CN7M  (ALLOY 20) STATIC CASTING REQUIREMENTS,  DATED 11/30/87. ",,0,,
49,V01402,,,0,,
50,V01403,,,0,,
51,V01404,,,0,,
52,V01405,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE  TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED  TO BE SUBMITTED. ",,0,,
53,V01409,,,0,,
54,V01410,,,0,,
55,V01415,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
56,V01420,,,0,,
57,V01430,,,0,,
58,V01435,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
59,V01436,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
60,V01437,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
61,V01438,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
62,V01450,,,0,,
63,V01460,"VALVE SHALL BE PREPARED & SHIPPED FOR ""OXYGEN SERVICE"". ",,0,,
64,V01470,"VALVE DRAWING SHALL BE SUBMITTED,   SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
65,V01471,"VALVE DRAWING SHALL BE SUBMITTED,   SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
66,V01475,"1. VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS.  2. VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY  BE TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION  PAPER IS NOT  REQUIRED TO BE SUBMITTED. ",,0,,
67,V01480,"VALVE DRAWING SHALL BE SUBMITTED, SHOWING DETAILED PARTS AND  MATERIALS. ",,0,,
68,V01501,"1. ACCEPTABLE BONNET GASKET:  GARLOCK ""GYLON"" 3500 (FAWN)  2. ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT  NO.  87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS,  DATED 11/30/87. ",,0,,
69,V01502,,,0,,
70,V01503,,SUPERCEDED BY V01506,0,,
71,V01504,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE  TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED  TO BE SUBMITTED. ",,0,,
72,V01506,,,0,,
73,V01508,,DISCONTINUED,1,,
74,V01510,,DISCONTINUED,1,,
75,V01512,,,0,,
76,V01519,,,0,,
77,V01520,,,0,,
78,V01550,,,0,,
79,V01551,"VALVE SHALL BE PREPARED AND SHIPPED FOR ""OXYGEN SERVICE"". ",,0,,
80,V01570,,,0,,
81,V01580,,,0,,
82,V01590,,,0,,
83,V01610,,,0,,
84,V01700,,,0,,
85,V01701,"VALVES SHALL COMPLY WITH NACE MR-01-75, EXCEPT BONNET BOLTING MAY BE  TO ASTM A193 GR. B7 WITH 2H NUTS. NACE CERTIFICATION PAPER IS NOT REQUIRED  TO BE SUBMITTED. ",,0,,
86,V01702,,DISCONTINUED,1,,
87,V01703,,"VALVE MUST BE ORDERED FROM FACTORY WITH SHELL HYDROTEST STANDARD MADE VALVES AREA NOT SHELL HYDROTESTED AND DO NOT MEET ARCO'S REQUIREMENTS.",0,,
88,V01704,,,0,,
89,V01707,,,0,,
90,V01720,"ALLOY 20 VALVES SHALL CONFORM TO THE REQUIREMENTS OF DOCUMENT  NO. 87349HTC0007 CN7M (ALLOY 20) STATIC CASTING REQUIREMENTS,  DATED 11/30/87. ",,0,,
91,V01780,"1. VALVE TO BE CAPABLE OF PASSING FUGITIVE EMISSION TEST OF 100 PPM OR  LOWER  WITH  METHANE GAS.  2. THERMAL RELIEF PIPING SHALL BE HARD PIPE, SCH 80 MINIMUM. ",,0,,
