id,vendor_no,name,email,account_no,address,city,state,zip,country,telephone,fax,contact_name,contact_telephone,notes,lock_version,updated_at
1,,UNSPECIFIED,,,,,,,USA,,,,,,0,2007-4-2
2,0080031138-008240,SPRAYING SYSTEMS CO,,,26941 CABOT RD.  #101,LAGUNA HILLS,CA,92653,USA,949-367-9900,949-367-9800, DENNIS BROWN,,,0,
3,0080033023-009103,"TULSA HEATERS, INC.",,,4500 S. GARNETT  #800,TULSA,OK,74119,USA,918-665-6512,,DAN P. LOVELESS,,,0,
4,0080072803-004802,HARRINGTON INDUSTRIAL PLASTICS,,,6017 SCOTT WAY,COMMERCE,CA,90040,USA,323-685-9030,323-721-2584,GREG WHITE,,,0,
5,0080151976-120302,WINZER CORP C/O WIDESPREAD IND. SUPPLIES,,,13831 JUDAH AVENUE,HAWTHORNE,CA,90250,USA,310-720-3431,310-536-7517,JOSH DORFMAN,,,0,
6,0080170678-006246,"MITECH CONTROLS, INC.",,,P.O. BOX 382,YORBA LINDA,CA,92886,USA,714-695-2999,714-695-2986,MIKE FOULDS / TOM ALRED,714-806-6303,,0,
7,0080210901-008840,DAILY THERMETRICS-HOUSTON,,,5728 HARTSDALE,HOUSTON,TX,77036,USA,713-780-8600,713-780-3209,SUSAN VARALLA,,,0,
8,0080250145-005537,"AZTEC RENTS & SELLS, INC.",,,540 HAWAII AVE.,TORRANCE,CA,90503,USA,310-328-5060,,,,,0,
9,0080257431-004455,"KOCH-GLITSCH, INC.",,,4900 SINGLETON BLVD.,DALLAS,TX,75212,USA,214-583-3249,214-583-3377,Tom Kirkey,,,0,
10,0080265058-EDI,HAGEMEYER (VALLEN),,,19230 VAN NESS AVENUE,TORRANCE,CA,90501,USA,310-522-3030,310-522-3040,RANDY ERICKSON / KAREN ODELL,714-335-3542,,0,
11,0080280675-007235,POWER ENGINEERING & EQUIPMENT,,,20009 SOUTH RANCHO WAY        ,RANCHO DOMINGUEZ              ,CA,90224,USA,310-886-1133 ,310-886-3995,SANDY / RON,,,0,
12,0080288857-001219,"BETE FOG NOZZLE, INC.",,,50 GREENFIELD ST.,GREENFIELD,MA,1301,USA,800-235-0049,,DAVE BETE,,,0,
13,0080288898-006164,METSO AUTOMATION USA INC.,,,12906 N.E. 95th Street,Vancouver,WA,98682,USA,800-535-3745,360-254-6955,,,,0,
14,0080289221-004898,HERTZ EQUIPMENT RENTAL,,,17310 S. MAIN ST,GARDENA,CA,90248,USA,310-538-8368,,DAVE MEYER / SCOT BLACKFORD,,,0,
15,0080289232-062204,BLASCH PRECISION CERAMICS,,,580 BROADWAY,ALBANY,NY,12204,USA,518-436-1263 X 16,518-436-0098,SILVIA DICARLO,,,0,
16,0080289379-092304,UNIVERSAL PLANT SERVICES,,,19160 VAN NESS AVENUE,TORRANCE,CA,90501,USA,310-618-1600,310-618-1300   ,SHAWN ENARSON,,,0,
17,0080289405-004247,GE CAPITAL MODULAR SPACE,,,1444 SOUTH WILLOW STREET,RIALTO,CA,92376,USA,909-574-1465,,,,,0,
18,0080289478-003293,DREXELBROOK ENGINEERING CO,,,205 KEITH VALLEY RD.,HORSHAM,PA,19044,USA,215-674-1234,714-970-0783,STEPHAN MARY,,,0,
19,0080289504-020103,"DFT, INC.",,,140 SHEREE BOULEVARD,LIONVILLE,PA,19341,USA,800-206-4013,610-524-9242,STEPHEN SINCLAIR ,,,0,
20,0080289507-070403,GLAS MESH COMPANY,,,"1085 ANDREW DRIVE, SUITE #C",WEST CHESTER,PA,19380,USA,610-696-9220,610-344-7519,NANCY,,,0,
21,0080289543-EDI,"WESCO DISTRIBUTION, INC.",,,801 W. WALNUT ST.,COMPTON,CA,90220,USA,310-763-0007,,MARK WHITNEY,,,0,
22,0080289593-051904,FORGED VESSEL CONNECTIONS,,,P.O. Box 38421,Houston,TX,77238-8421,USA,800-231-2701 EXT 363,713-688-7954,BJ GRUNER,,,0,
23,0080289657-003958,"FOUNTAIN VALLEY PAINTS, INC.",,,11271 SLATER AVENUE,FOUNTAIN VALLEY,CA,92708,USA,714-557-8050,,MICHAEL BERMAN,,,0,
24,0080289667-006071,MEDLIN CONTROLS CO.,,,"1020 N. BATAVIA STREET, UNIT E",ORANGE,CA,92867,USA,714-538-1577,,MARK BUTLER,,,0,
